blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
Ivern,Vi,Twisted Fate,Rumble,14.12,,,,
Ezreal,Zeri,Viego,Sejuani,14.12,,,,
Kalista,Skarner,Taliyah,Corki,14.12,,,,
Braum,Varus,Kaisa,Jinx,14.12,,,,
Alistar,KSante,Rell,Nautilus,14.12,,,,
,,,,,MAD Lions KOI,Team Vitality,blue_side,red_side
Azir,Vi,Skarner,Rumble,14.12,,,,
Ezreal,Rell,Taliyah,Maokai,14.12,,,,
Ivern,Jinx,Tristana,Corki,14.12,,,,
Nautilus,Viego,Kaisa,Zeri,14.12,,,,
Sejuani,Xin Zhao,Rakan,Blitzcrank,14.12,,,,
,,,,,MAD Lions KOI,Rogue,blue_side,red_side
Kaisa,Rumble,Poppy,Renekton,14.12,,,,
Taliyah,Skarner,Sejuani,Vi,14.12,,,,
KSante,LeBlanc,Sylas,Azir,14.12,,,,
Twisted Fate,Yone,Jinx,Zeri,14.12,,,,
Kennen,Gragas,Rell,Rakan,14.12,,,,
,,,,,GIANTX,Karmine Corp,red_side,blue_side
Tristana,Skarner,KSante,Dr. Mundo,14.12,,,,
Ashe,Rumble,Sejuani,Zyra,14.12,,,,
Ivern,Vi,Azir,Corki,14.12,,,,
Twisted Fate,Braum,Zeri,Caitlyn,14.12,,,,
Renekton,Leona,Rell,Nautilus,14.12,,,,
,,,,,Team Heretics,G2 Esports,red_side,blue_side
Vi,Maokai,Skarner,KSante,14.12,,,,
Hwei,Rumble,Viego,Ivern,14.12,,,,
LeBlanc,Rell,Taliyah,Corki,14.12,,,,
Nautilus,Tristana,Jinx,Zeri,14.12,,,,
Mordekaiser,Sejuani,Alistar,Leona,14.12,,,,
,,,,,Team BDS,Fnatic,blue_side,red_side
Azir,Rumble,Renekton,Kled,14.12,,,,
Ezreal,Skarner,Viego,Sejuani,14.12,,,,
Ivern,Vi,Taliyah,Corki,14.12,,,,
Alistar,Tristana,Zeri,Kaisa,14.12,,,,
Braum,Xin Zhao,Rell,Nautilus,14.12,,,,
,,,,,MAD Lions KOI,Rogue,blue_side,red_side
Zeri,Ivern,KSante,Camille,14.12,,,,
Maokai,Ezreal,Sejuani,Xin Zhao,14.12,,,,
Skarner,Rumble,Aurelion Sol,Azir,14.12,,,,
Gnar,Yone,Kalista,Kaisa,14.12,,,,
Taliyah,LeBlanc,Renata Glasc,Leona,14.12,,,,
,,,,,Team Vitality,SK Gaming,red_side,blue_side
Varus,Rumble,Renekton,Volibear,14.12,,,,
Viego,Skarner,Zyra,Taliyah,14.12,,,,
Tristana,Vi,Corki,Lucian,14.12,,,,
Olaf,Alistar,Kaisa,Zeri,14.12,,,,
Twisted Fate,Nautilus,Leona,Rell,14.12,,,,
,,,,,MAD Lions KOI,Team BDS,red_side,blue_side
Nautilus,Skarner,Gnar,KSante,14.12,,,,
Kaisa,Sejuani,Maokai,Xin Zhao,14.12,,,,
Vi,Rumble,Taliyah,Azir,14.12,,,,
Camille,Renekton,Lucian,Zeri,14.12,,,,
