blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
Syndra,Senna,Aatrox,Sett,10.6,,,,
Nautilus,Ryze,Lee Sin,Sejuani,10.6,,,,
Tahm Kench,LeBlanc,Malzahar,Zoe,10.6,,,,
Rakan,Trundle,Aphelios,Varus,10.6,,,,
Taric,Zilean,Braum,Thresh,10.6,,,,
,,,,,Evil Geniuses,100 Thieves,blue_side,red_side
Rumble,Senna,Sett,Renekton,10.6,,,,
Kalista,Aphelios,Jarvan IV,Pantheon,10.6,,,,
Ornn,Syndra,Zoe,Viktor,10.6,,,,
LeBlanc,Olaf,Varus,Ashe,10.6,,,,
Taliyah,Trundle,Braum,Tahm Kench,10.6,,,,
,,,,,Golden Guardians,Dignitas,blue_side,red_side
Trundle,Tahm Kench,Sett,Aatrox,10.6,,,,
Senna,Nautilus,Sejuani,Pantheon,10.6,,,,
Rakan,Aphelios,Syndra,Orianna,10.6,,,,
Jarvan IV,Ezreal,Lucian,Miss Fortune,10.6,,,,
Thresh,Varus,Braum,Yuumi,10.6,,,,
,,,,,100 Thieves,FlyQuest,blue_side,red_side
Syndra,Senna,Aatrox,Sett,10.6,,,,
Ornn,Kalista,Pantheon,Sejuani,10.6,,,,
Tahm Kench,Rumble,Orianna,Zoe,10.6,,,,
Sylas,Renekton,Aphelios,Miss Fortune,10.6,,,,
LeBlanc,Viktor,Nautilus,Leona,10.6,,,,
,,,,,Dignitas,Immortals,blue_side,red_side
Trundle,Sett,Aatrox,Camille,10.6,,,,
Ornn,Xayah,Sejuani,Pantheon,10.6,,,,
Senna,Olaf,Syndra,Ekko,10.6,,,,
Rumble,Jarvan IV,Aphelios,Varus,10.6,,,,
Taliyah,RekSai,Tahm Kench,Braum,10.6,,,,
,,,,,100 Thieves,CLG,blue_side,red_side
Syndra,Senna,Sett,Aatrox,10.6,,,,
Tahm Kench,Kalista,Pantheon,Jarvan IV,10.6,,,,
Ornn,Xayah,Ryze,Viktor,10.6,,,,
Thresh,LeBlanc,Aphelios,Varus,10.6,,,,
Cassiopeia,Renekton,Braum,Rakan,10.6,,,,
,,,,,Evil Geniuses,Immortals,blue_side,red_side
Syndra,Xayah,Aatrox,Renekton,10.6,,,,
Pantheon,Senna,Elise,Olaf,10.6,,,,
Gragas,Sett,Ornn,Rumble,10.6,,,,
Jarvan IV,Zoe,Ashe,Varus,10.6,,,,
Cassiopeia,LeBlanc,Braum,Tahm Kench,10.6,,,,
,,,,,Team Liquid,Cloud9,red_side,blue_side
Syndra,Senna,Ornn,Sett,10.6,,,,
Varus,Rumble,Lee Sin,Sejuani,10.6,,,,
Xayah,Kalista,Viktor,Azir,10.6,,,,
Trundle,Renekton,Aphelios,Ezreal,10.6,,,,
LeBlanc,Olaf,Tahm Kench,Yuumi,10.6,,,,
,,,,,Dignitas,TSM,blue_side,red_side
Rakan,Varus,Ornn,Renekton,10.6,,,,
Pantheon,Senna,RekSai,Trundle,10.6,,,,
Syndra,Sett,Zoe,Viktor,10.6,,,,
Elise,Aatrox,Aphelios,Miss Fortune,10.6,,,,
Jarvan IV,Kalista,Nautilus,Alistar,10.6,,,,
,,,,,Golden Guardians,FlyQuest,blue_side,red_side
Kalista,Senna,Ornn,Mordekaiser,10.6,,,,
Rumble,Renekton,Pantheon,Olaf,10.6,,,,
Sett,Varus,Syndra,Orianna,10.6,,,,
Viktor,Rakan,Ezreal,Aphelios,10.6,,,,
Sejuani,Morgana,Tahm Kench,Nautilus,10.6,,,,
,,,,,Immortals,Dignitas,red_side,blue_side
Sett,Senna,Renekton,Aatrox,10.6,,,,
Ornn,Pantheon,Sejuani,Jarvan IV,10.6,,,,
Syndra,Rumble,Corki,Sylas,10.6,,,,
Yuumi,Elise,Ezreal,Varus,10.6,,,,
Karma,Gragas,Tahm Kench,Ziggs,10.6,,,,
,,,,,CLG,Golden Guardians,red_side,blue_side
Ornn,Senna,Aatrox,Renekton,10.6,,,,
Tahm Kench,Pantheon,Trundle,RekSai,10.6,,,,
LeBlanc,Sett,Syndra,Zoe,10.6,,,,
Gragas,Olaf,Xayah,Kalista,10.6,,,,
Jarvan IV,Elise,Rakan,Taric,10.6,,,,
,,,,,FlyQuest,Team Liquid,blue_side,red_side
LeBlanc,Kalista,Quinn,Renekton,10.6,,,,
Pantheon,Senna,Gragas,Lee Sin,10.6,,,,
Tahm Kench,Syndra,Ornn,Kayle,10.6,,,,
Ekko,Thresh,Aphelios,Kaisa,10.6,,,,
Ryze,Braum,Shen,Nautilus,10.6,,,,
,,,,,Cloud9,Evil Geniuses,blue_side,red_side
Kalista,Sett,Aatrox,Ornn,10.6,,,,
Renekton,Syndra,Jarvan IV,Trundle,10.6,,,,
LeBlanc,Senna,Azir,Viktor,10.6,,,,
Gragas,Zilean,Varus,Aphelios,10.6,,,,
Zoe,Kindred,Tahm Kench,Nautilus,10.6,,,,
,,,,,TSM,100 Thieves,red_side,blue_side
Rumble,Senna,Aatrox,Fiora,10.5,,,,
Kalista,Sett,Lee Sin,Gragas,10.5,,,,
Pantheon,Ornn,Ryze,Qiyana,10.5,,,,
Orianna,LeBlanc,Aphelios,Syndra,10.5,,,,
Miss Fortune,Olaf,Tahm Kench,Nautilus,10.5,,,,
,,,,,Evil Geniuses,Dignitas,blue_side,red_side
Syndra,Senna,Aatrox,Ornn,10.5,,,,
Gangplank,Sett,Trundle,RekSai,10.5,,,,
Pantheon,Gragas,Orianna,Ahri,10.5,,,,
Viktor,LeBlanc,Aphelios,Miss Fortune,10.5,,,,
Corki,Thresh,Nautilus,Braum,10.5,,,,
,,,,,100 Thieves,FlyQuest,blue_side,red_side
Kalista,Sett,Ornn,Gangplank,10.5,,,,
Syndra,Aphelios,Jarvan IV,Sejuani,10.5,,,,
Aatrox,Senna,Orianna,Diana,10.5,,,,
LeBlanc,Rumble,Ezreal,Xayah,10.5,,,,
Thresh,Miss Fortune,Rakan,Nautilus,10.5,,,,
,,,,,Immortals,TSM,blue_side,red_side
Sett,Senna,Jayce,Irelia,10.5,,,,
Kalista,Karthus,RekSai,Gragas,10.5,,,,
Pantheon,Olaf,Rumble,Yasuo,10.5,,,,
Thresh,Sejuani,Varus,Aphelios,10.5,,,,
Ornn,Renekton,Tahm Kench,Bard,10.5,,,,
,,,,,CLG,Cloud9,red_side,blue_side
Ornn,Senna,Renekton,Gangplank,10.5,,,,
Taric,Aphelios,Elise,Gragas,10.5,,,,
Sett,Pantheon,Syndra,Zoe,10.5,,,,
Lee Sin,RekSai,Varus,Xayah,10.5,,,,
Jarvan IV,Sejuani,Tahm Kench,Rakan,10.5,,,,
,,,,,Golden Guardians,Team Liquid,red_side,blue_side
Ornn,Senna,Sett,Aatrox,10.5,,,,
Tahm Kench,Pantheon,Gragas,Trundle,10.5,,,,
Syndra,Aphelios,Viktor,Cassiopeia,10.5,,,,
LeBlanc,Karthus,Xayah,Miss Fortune,10.5,,,,
Qiyana,Jarvan IV,Rakan,Morgana,10.5,,,,
,,,,,FlyQuest,Immortals,blue_side,red_side
Syndra,Senna,Fiora,Irelia,10.5,,,,
Tahm Kench,Kalista,Pantheon,Karthus,10.5,,,,
Aphelios,Sett,Rumble,Ornn,10.5,,,,
Olaf,Varus,Kaisa,Miss Fortune,10.5,,,,
Sylas,Taliyah,Thresh,Nautilus,10.5,,,,
,,,,,Dignitas,CLG,blue_side,red_side
Senna,Ornn,Mordekaiser,Aatrox,10.5,,,,
Yuumi,Sett,Trundle,Lee Sin,10.5,,,,
Xayah,Aphelios,Cassiopeia,LeBlanc,10.5,,,,
Gragas,RekSai,Varus,Ashe,10.5,,,,
Pantheon,Syndra,Braum,Tahm Kench,10.5,,,,
,,,,,Team Liquid,Evil Geniuses,red_side,blue_side
Olaf,Senna,Kalista,Ornn,10.5,,,,
Xayah,Pantheon,Gragas,Trundle,10.5,,,,
Renekton,Sett,Yasuo,LeBlanc,10.5,,,,
RekSai,Irelia,Syndra,Aphelios,10.5,,,,
Yuumi,Nautilus,Thresh,Tahm Kench,10.5,,,,
,,,,,Cloud9,100 Thieves,blue_side,red_side
Tahm Kench,Senna,Aatrox,Kennen,10.5,,,,
Kalista,Sett,Sejuani,Jarvan IV,10.5,,,,
Yuumi,Pantheon,Syndra,Rumble,10.5,,,,
Zoe,Lee Sin,Aphelios,Varus,10.5,,,,
LeBlanc,RekSai,Thresh,Nautilus,10.5,,,,
,,,,,TSM,Golden Guardians,blue_side,red_side
Kalista,Senna,Sett,Aatrox,10.4,,,,
Yuumi,Ornn,Pantheon,Sejuani,10.4,,,,
Tahm Kench,Qiyana,Taliyah,Zoe,10.4,,,,
Jarvan IV,Gragas,Syndra,Aphelios,10.4,,,,
Olaf,Miss Fortune,Pyke,Nautilus,10.4,,,,
,,,,,Cloud9,Golden Guardians,blue_side,red_side
Aatrox,Ornn,Renekton,Zac,10.4,,,,
Mordekaiser,Senna,Gragas,Olaf,10.4,,,,
Gangplank,Sett,Qiyana,Zoe,10.4,,,,
Sejuani,Braum,Aphelios,Miss Fortune,10.4,,,,
Jarvan IV,Thresh,Tahm Kench,Nautilus,10.4,,,,
,,,,,Immortals,Team Liquid,blue_side,red_side
Yuumi,Ornn,Gangplank,Jayce,10.4,,,,
Xayah,Sett,Gragas,Lee Sin,10.4,,,,
Senna,Aphelios,Syndra,Ekko,10.4,,,,
Aatrox,RekSai,Ashe,Varus,10.4,,,,
Jarvan IV,Sejuani,Braum,Tahm Kench,10.4,,,,
,,,,,CLG,Evil Geniuses,red_side,blue_side
Qiyana,Ornn,Aatrox,Mordekaiser,10.4,,,,
Janna,Aphelios,Pantheon,RekSai,10.4,,,,
