blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
Azir,Galio,Camille,Shen,10.15,,,,
Nidalee,Jayce,Sett,Olaf,10.15,,,,
Karma,Caitlyn,Twisted Fate,Zoe,10.15,,,,
Riven,LeBlanc,Ezreal,Ashe,10.15,,,,
Thresh,Syndra,Bard,Soraka,10.15,,,,
,,,,,CLG,Dignitas,red_side,blue_side
Karma,Sett,Maokai,Ornn,10.15,,,,
Olaf,Volibear,Graves,Nidalee,10.15,,,,
Ashe,Caitlyn,Orianna,Twisted Fate,10.15,,,,
Tahm Kench,Gangplank,Aphelios,Ezreal,10.15,,,,
Jhin,Kalista,Thresh,Braum,10.15,,,,
,,,,,FlyQuest,Immortals,blue_side,red_side
Caitlyn,Kalista,Shen,Gangplank,10.15,,,,
Twisted Fate,Azir,Graves,Lee Sin,10.15,,,,
Sett,Volibear,Syndra,Zoe,10.15,,,,
LeBlanc,Ornn,Ashe,Xayah,10.15,,,,
Galio,Mordekaiser,Thresh,Rakan,10.15,,,,
,,,,,Team Liquid,TSM,blue_side,red_side
Olaf,Rumble,Shen,Camille,10.15,,,,
Karma,Ezreal,Graves,Nidalee,10.15,,,,
Caitlyn,Sett,Corki,Galio,10.15,,,,
Jayce,Azir,Kalista,Ashe,10.15,,,,
Renekton,Gangplank,Thresh,Tahm Kench,10.15,,,,
,,,,,Evil Geniuses,100 Thieves,red_side,blue_side
Olaf,Galio,Ornn,Gangplank,10.15,,,,
Ezreal,Sett,Volibear,Graves,10.15,,,,
Karma,Caitlyn,Orianna,Zoe,10.15,,,,
LeBlanc,Blitzcrank,Aphelios,Kalista,10.15,,,,
Akali,Morgana,Alistar,Thresh,10.15,,,,
,,,,,CLG,Cloud9,red_side,blue_side
Azir,Olaf,Ornn,Camille,10.15,,,,
Kalista,Renekton,Graves,Nidalee,10.15,,,,
Ashe,Galio,Zoe,Sett,10.15,,,,
Riven,Soraka,Caitlyn,Ezreal,10.15,,,,
LeBlanc,Zyra,Bard,Karma,10.15,,,,
,,,,,100 Thieves,Dignitas,red_side,blue_side
Azir,Camille,Kennen,Mordekaiser,10.15,,,,
Renekton,Caitlyn,Sett,Trundle,10.15,,,,
Swain,Galio,Syndra,Orianna,10.15,,,,
Rakan,LeBlanc,Ezreal,Ashe,10.15,,,,
Thresh,Rumble,Bard,Pyke,10.15,,,,
,,,,,CLG,FlyQuest,red_side,blue_side
Olaf,Gangplank,Gnar,Renekton,10.15,,,,
Karma,Volibear,Sett,Nidalee,10.15,,,,
Caitlyn,Zoe,Azir,Ekko,10.15,,,,
Ornn,Irelia,Senna,Kalista,10.15,,,,
Sion,Galio,Tahm Kench,Bard,10.15,,,,
,,,,,Evil Geniuses,Golden Guardians,blue_side,red_side
Kalista,Karma,Sion,Ornn,10.15,,,,
Gangplank,Twisted Fate,Olaf,Volibear,10.15,,,,
Orianna,Corki,Azir,Akali,10.15,,,,
LeBlanc,Malphite,Caitlyn,Ashe,10.15,,,,
Shen,Galio,Morgana,Thresh,10.15,,,,
,,,,,Immortals,Team Liquid,red_side,blue_side
Olaf,Twisted Fate,Shen,Renekton,10.15,,,,
Kalista,Volibear,Sett,Nidalee,10.15,,,,
Karma,Caitlyn,LeBlanc,Sylas,10.15,,,,
Galio,Akali,Lucian,Ezreal,10.15,,,,
Pantheon,Zilean,Yuumi,Bard,10.15,,,,
,,,,,TSM,Golden Guardians,blue_side,red_side
Olaf,Volibear,Renekton,Gangplank,10.15,,,,
Kalista,Shen,Lillia,Nidalee,10.15,,,,
Ezreal,KhaZix,Sett,Orianna,10.15,,,,
Jayce,Azir,Ashe,Senna,10.15,,,,
Galio,Karthus,Karma,Nautilus,10.15,,,,
,,,,,Dignitas,Cloud9,red_side,blue_side
Ornn,Karma,Gangplank,Sion,10.15,,,,
Orianna,Olaf,Graves,Sett,10.15,,,,
Ashe,Renekton,Syndra,Zoe,10.15,,,,
Urgot,Morgana,Caitlyn,Jhin,10.15,,,,
Thresh,Blitzcrank,Tahm Kench,Nautilus,10.15,,,,
,,,,,100 Thieves,Immortals,blue_side,red_side
Orianna,Twisted Fate,Rumble,Sett,10.15,,,,
Azir,Karma,Volibear,Trundle,10.15,,,,
LeBlanc,Olaf,Syndra,Corki,10.15,,,,
Ahri,Bard,Ezreal,Ashe,10.15,,,,
Shen,Graves,Nautilus,Thresh,10.15,,,,
,,,,,Evil Geniuses,FlyQuest,red_side,blue_side
Olaf,Graves,Irelia,Kennen,10.15,,,,
Kalista,Nidalee,Sett,Volibear,10.15,,,,
Ezreal,Xayah,Twisted Fate,Azir,10.15,,,,
Galio,LeBlanc,Caitlyn,Ashe,10.15,,,,
Renekton,Sylas,Morgana,Karma,10.15,,,,
,,,,,TSM,Cloud9,blue_side,red_side
Camille,Olaf,Kennen,Maokai,10.15,,,,
Caitlyn,Galio,Sett,Volibear,10.15,,,,
Karma,Nidalee,Twisted Fate,Ryze,10.15,,,,
Azir,Tahm Kench,Aphelios,Kalista,10.15,,,,
Jayce,Renekton,Bard,Morgana,10.15,,,,
,,,,,Golden Guardians,CLG,blue_side,red_side
Olaf,Kalista,Sett,Ornn,10.15,,,,
