blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
Jinx,Caitlyn,Gnar,Akshan,12.4,,,,
Jayce,Ryze,Hecarim,Xin Zhao,12.4,,,,
Aphelios,Yuumi,Viktor,Twisted Fate,12.4,,,,
Gwen,Renata Glasc,Zeri,Tristana,12.4,,,,
Tryndamere,Rakan,Galio,Alistar,12.4,,,,
,,,,,Rogue,G2 Esports,blue_side,red_side
Gwen,Zeri,Aatrox,Darius,12.4,,,,
Hecarim,Ryze,Viego,Diana,12.4,,,,
Orianna,Xin Zhao,Twisted Fate,Yasuo,12.4,,,,
Olaf,Poppy,Aphelios,Jinx,12.4,,,,
Thresh,Alistar,Nautilus,Braum,12.4,,,,
,,,,,MAD Lions,Team BDS,blue_side,red_side
Hecarim,Ryze,Jayce,Camille,12.4,,,,
Jarvan IV,Twisted Fate,Viego,Xin Zhao,12.4,,,,
Aphelios,Thresh,LeBlanc,Lissandra,12.4,,,,
Malzahar,Leona,Zeri,Jinx,12.4,,,,
Irelia,Rakan,Renata Glasc,Nautilus,12.4,,,,
,,,,,Fnatic,Excel Esports,blue_side,red_side
Trundle,Thresh,Gnar,Graves,12.4,,,,
Leona,Jayce,Xin Zhao,Jarvan IV,12.4,,,,
Hecarim,Zeri,Ryze,Vex,12.4,,,,
Galio,Gangplank,Jinx,Aphelios,12.4,,,,
Rakan,Camille,Tahm Kench,Alistar,12.4,,,,
,,,,,Team Vitality,Astralis,blue_side,red_side
Lee Sin,Zeri,Tryndamere,Gnar,12.4,,,,
Jayce,Hecarim,Jarvan IV,Xin Zhao,12.4,,,,
Aphelios,Jinx,Ryze,LeBlanc,12.4,,,,
Akali,Volibear,Kalista,Jhin,12.4,,,,
Irelia,Gwen,Nautilus,Alistar,12.4,,,,
,,,,,SK Gaming,Misfits Gaming,blue_side,red_side
Ryze,Zeri,Gangplank,Tryndamere,12.4,,,,
Twisted Fate,Jayce,Hecarim,Xin Zhao,12.4,,,,
Jhin,Jinx,Syndra,Corki,12.4,,,,
Graves,Zilean,Caitlyn,Ezreal,12.4,,,,
Akshan,Orianna,Tahm Kench,Karma,12.4,,,,
,,,,,Team Vitality,G2 Esports,red_side,blue_side
Jinx,Zeri,Gnar,Gwen,12.4,,,,
Jayce,Xin Zhao,Poppy,Jarvan IV,12.4,,,,
Hecarim,Thresh,Ryze,LeBlanc,12.4,,,,
Nautilus,Volibear,Caitlyn,Aphelios,12.4,,,,
Blitzcrank,Lee Sin,Lux,Leona,12.4,,,,
,,,,,Rogue,Team BDS,blue_side,red_side
Twisted Fate,Zeri,Camille,Jayce,12.4,,,,
Ryze,Jarvan IV,Lee Sin,Hecarim,12.4,,,,
Caitlyn,Xin Zhao,Viktor,Akali,12.4,,,,
Orianna,Irelia,Jinx,Aphelios,12.4,,,,
LeBlanc,Volibear,Tahm Kench,Thresh,12.4,,,,
,,,,,Misfits Gaming,Fnatic,blue_side,red_side
