blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
,,,,,Rogue,MAD Lions,red_side,blue_side
Varus,LeBlanc,Jayce,Sett,11.14,,,,
Thresh,Draven,Diana,Lee Sin,11.14,,,,
Xin Zhao,Viego,Lucian,Ryze,11.14,,,,
Alistar,Camille,Aphelios,Jinx,11.14,,,,
Renekton,Gwen,Rakan,Nautilus,11.14,,,,
,,,,,Excel Esports,Team Vitality,blue_side,red_side
Irelia,Lucian,Renekton,Gwen,11.14,,,,
Varus,Thresh,Trundle,Jarvan IV,11.14,,,,
Xin Zhao,Viego,Orianna,LeBlanc,11.14,,,,
Leona,Lee Sin,Ziggs,Tristana,11.14,,,,
Volibear,Sett,Alistar,Nautilus,11.14,,,,
,,,,,Astralis,FC Schalke 04,blue_side,red_side
Draven,Thresh,Sett,Camille,11.14,,,,
Lucian,Alistar,Viego,Xin Zhao,11.14,,,,
Gwen,Olaf,Sylas,Twisted Fate,11.14,,,,
Poppy,Braum,Tristana,Kalista,11.14,,,,
Nautilus,Leona,Morgana,Rakan,11.14,,,,
,,,,,Fnatic,Rogue,red_side,blue_side
Gwen,Diana,Camille,Urgot,11.14,,,,
Lucian,Xin Zhao,Viego,Dr. Mundo,11.14,,,,
Thresh,Varus,LeBlanc,Syndra,11.14,,,,
Sett,Lee Sin,Kaisa,Tristana,11.14,,,,
Alistar,Sejuani,Gragas,Leona,11.14,,,,
,,,,,G2 Esports,SK Gaming,blue_side,red_side
Dr. Mundo,Kalista,Gwen,Lee Sin,11.14,,,,
Xin Zhao,LeBlanc,Viego,Trundle,11.14,,,,
Thresh,Lucian,Twisted Fate,Orianna,11.14,,,,
Nautilus,Camille,Ezreal,Ziggs,11.14,,,,
Jayce,Wukong,Alistar,Leona,11.14,,,,
,,,,,MAD Lions,Astralis,blue_side,red_side
LeBlanc,Xin Zhao,Renekton,Dr. Mundo,11.14,,,,
Lee Sin,Viego,Evelynn,Volibear,11.14,,,,
Thresh,Irelia,Lucian,Ryze,11.14,,,,
Alistar,Leona,Jinx,Aphelios,11.14,,,,
Varus,KogMaw,Rakan,Nautilus,11.14,,,,
,,,,,Team Vitality,Misfits Gaming,red_side,blue_side
Kalista,Xin Zhao,Camille,Jax,11.14,,,,
Draven,Viego,Volibear,Diana,11.14,,,,
Gwen,Varus,Twisted Fate,Lucian,11.14,,,,
Nautilus,LeBlanc,Jinx,Aphelios,11.14,,,,
Braum,Ryze,Thresh,Alistar,11.14,,,,
,,,,,FC Schalke 04,Excel Esports,red_side,blue_side
Xin Zhao,Varus,Gragas,Dr. Mundo,11.14,,,,
Kalista,LeBlanc,Diana,Karthus,11.14,,,,
Viego,Gwen,Lucian,Irelia,11.14,,,,
Sett,Aphelios,Vayne,Tristana,11.14,,,,
Braum,Ashe,Thresh,Alistar,11.14,,,,
,,,,,G2 Esports,Fnatic,red_side,blue_side
LeBlanc,Viego,Lulu,Gwen,11.14,,,,
Kalista,Varus,Xin Zhao,Lee Sin,11.14,,,,
Lucian,Thresh,Sylas,Orianna,11.14,,,,
Ryze,Jayce,Tristana,Kaisa,11.14,,,,
Zoe,Alistar,Braum,Rakan,11.14,,,,
,,,,,Team Vitality,MAD Lions,red_side,blue_side
Draven,Thresh,Dr. Mundo,Camille,11.14,,,,
Kalista,Lucian,Viego,Xin Zhao,11.14,,,,
Varus,Gwen,Sylas,Irelia,11.14,,,,
Ryze,Taric,Tristana,Ziggs,11.14,,,,
Orianna,Braum,Alistar,Leona,11.14,,,,
,,,,,Astralis,Rogue,red_side,blue_side
Varus,Xin Zhao,Lucian,Renekton,11.14,,,,
Gwen,Viego,Lillia,Volibear,11.14,,,,
Lee Sin,Thresh,Irelia,Syndra,11.14,,,,
Leona,Braum,Aphelios,Tristana,11.14,,,,
Nautilus,Camille,Rakan,Alistar,11.14,,,,
,,,,,FC Schalke 04,Misfits Gaming,red_side,blue_side
Dr. Mundo,Diana,Gwen,Jayce,11.14,,,,
Thresh,Xin Zhao,Viego,Gragas,11.14,,,,
Tristana,Kalista,Sett,Lucian,11.14,,,,
Lee Sin,LeBlanc,Varus,Ziggs,11.14,,,,
Volibear,Twisted Fate,Rakan,Leona,11.14,,,,
,,,,,Excel Esports,SK Gaming,red_side,blue_side
Lucian,Thresh,Sett,Sejuani,11.14,,,,
Tristana,Viego,Rumble,Lee Sin,11.14,,,,
Gwen,Xin Zhao,Yone,LeBlanc,11.14,,,,
Dr. Mundo,Irelia,Varus,Kalista,11.14,,,,
Renekton,Sylas,Alistar,Gragas,11.14,,,,
,,,,,Team Vitality,G2 Esports,red_side,blue_side
Trundle,Kalista,Sett,Dr. Mundo,11.14,,,,
Irelia,Thresh,Viego,Xin Zhao,11.14,,,,
Gwen,LeBlanc,Cassiopeia,Sylas,11.14,,,,
Morgana,Ryze,Kaisa,Tristana,11.14,,,,
Renekton,Orianna,Alistar,Taric,11.14,,,,
,,,,,Fnatic,Astralis,blue_side,red_side
Ziggs,Kalista,Viego,Irelia,11.14,,,,
Gwen,Thresh,Fiddlesticks,Lillia,11.14,,,,
Xin Zhao,LeBlanc,Lucian,Jayce,11.14,,,,
Nautilus,Kennen,Aphelios,Varus,11.14,,,,
Diana,Leona,Braum,Alistar,11.14,,,,
,,,,,Rogue,FC Schalke 04,blue_side,red_side
Ziggs,Thresh,Jayce,Lee Sin,11.14,,,,
Diana,Xin Zhao,Dr. Mundo,Volibear,11.14,,,,
Viego,Gwen,Syndra,LeBlanc,11.14,,,,
Braum,Twisted Fate,Tristana,Kalista,11.14,,,,
Wukong,Lucian,Leona,Nautilus,11.14,,,,
,,,,,SK Gaming,MAD Lions,blue_side,red_side
Kalista,Viego,Jayce,Renekton,11.14,,,,
Lucian,Xin Zhao,Lee Sin,Diana,11.14,,,,
LeBlanc,Gwen,Zoe,Twisted Fate,11.14,,,,
Sett,Camille,Varus,Aphelios,11.14,,,,
Yasuo,Sylas,Thresh,Nautilus,11.14,,,,
,,,,,Misfits Gaming,Excel Esports,blue_side,red_side
Nocturne,Xin Zhao,Renekton,Dr. Mundo,11.13,,,,
Akali,Gwen,Diana,Viego,11.13,,,,
Thresh,Varus,Lucian,Orianna,11.13,,,,
LeBlanc,Poppy,Tristana,Kalista,11.13,,,,
Viktor,Leona,Braum,Nautilus,11.13,,,,
,,,,,G2 Esports,Rogue,blue_side,red_side
Draven,Nocturne,Camille,Gwen,11.13,,,,
LeBlanc,Xin Zhao,Viego,Diana,11.13,,,,
Akali,Tristana,Sylas,Yasuo,11.13,,,,
Twisted Fate,Sett,Aphelios,Kalista,11.13,,,,
Lucian,Renekton,Thresh,Nautilus,11.13,,,,
,,,,,Fnatic,Excel Esports,blue_side,red_side
LeBlanc,Kalista,Gwen,Lulu,11.13,,,,
Varus,Nocturne,Viego,Diana,11.13,,,,
Thresh,Xin Zhao,Akali,Lee Sin,11.13,,,,
Twisted Fate,Tristana,Aphelios,Ezreal,11.13,,,,
Galio,Nautilus,Leona,Alistar,11.13,,,,
,,,,,MAD Lions,FC Schalke 04,blue_side,red_side
Lucian,Gwen,Viego,Dr. Mundo,11.13,,,,
Thresh,LeBlanc,Volibear,Xin Zhao,11.13,,,,
Nocturne,Twisted Fate,Akali,Sylas,11.13,,,,
Kalista,Varus,Xayah,Tristana,11.13,,,,
Galio,Aphelios,Leona,Alistar,11.13,,,,
,,,,,Misfits Gaming,Astralis,red_side,blue_side
Lucian,Xin Zhao,Dr. Mundo,Aatrox,11.13,,,,
Akali,LeBlanc,Gwen,Rumble,11.13,,,,
Nocturne,Thresh,Jayce,Viego,11.13,,,,
Diana,Lee Sin,Varus,Tristana,11.13,,,,
Gangplank,Sylas,Leona,Alistar,11.13,,,,
,,,,,SK Gaming,Team Vitality,red_side,blue_side
LeBlanc,Xin Zhao,Viego,Dr. Mundo,11.13,,,,
Lucian,Akali,Diana,Lee Sin,11.13,,,,
Nocturne,Thresh,Renekton,Gwen,11.13,,,,
Braum,Kalista,Tristana,Varus,11.13,,,,
Leona,Nautilus,Taric,Poppy,11.13,,,,
,,,,,Astralis,G2 Esports,red_side,blue_side
Kalista,Akali,Gwen,Sett,11.13,,,,
Thresh,Varus,Lee Sin,Nocturne,11.13,,,,
Viego,Xin Zhao,Yone,Ryze,11.13,,,,
Sylas,Lucian,Ziggs,Tristana,11.13,,,,
Rumble,Nautilus,Leona,Alistar,11.13,,,,
,,,,,Team Vitality,Fnatic,red_side,blue_side
LeBlanc,Lucian,Nocturne,Viego,11.13,,,,
Akali,Kalista,Hecarim,Volibear,11.13,,,,
Gwen,Xin Zhao,Viktor,Zoe,11.13,,,,
Sylas,Orianna,Ziggs,Aphelios,11.13,,,,
Camille,Jayce,Nautilus,Thresh,11.13,,,,
,,,,,Rogue,Misfits Gaming,blue_side,red_side
Nocturne,Xin Zhao,Dr. Mundo,Gnar,11.13,,,,
Volibear,Thresh,Lee Sin,Diana,11.13,,,,
Viego,Gwen,LeBlanc,Twisted Fate,11.13,,,,
Taric,Jax,Draven,Kalista,11.13,,,,
Camille,Renekton,Alistar,Leona,11.13,,,,
,,,,,Excel Esports,MAD Lions,red_side,blue_side
Lucian,Xin Zhao,Gangplank,Lee Sin,11.13,,,,
Akali,Twisted Fate,Viego,Gwen,11.13,,,,
Thresh,Nocturne,LeBlanc,Syndra,11.13,,,,
Varus,Braum,Aphelios,Tristana,11.13,,,,
Kalista,Camille,Leona,Nautilus,11.13,,,,
,,,,,FC Schalke 04,SK Gaming,red_side,blue_side
Thresh,Xin Zhao,Camille,Nocturne,11.13,,,,
Lucian,LeBlanc,Lee Sin,Volibear,11.13,,,,
Gwen,Varus,Akali,Orianna,11.13,,,,
Braum,Karma,Ezreal,Kalista,11.13,,,,
Dr. Mundo,Leona,Alistar,Galio,11.13,,,,
,,,,,MAD Lions,Rogue,red_side,blue_side
Varus,Akali,Sett,Dr. Mundo,11.13,,,,
Viego,Xin Zhao,Lee Sin,Diana,11.13,,,,
Thresh,Gwen,Syndra,Lucian,11.13,,,,
Braum,Nocturne,Kaisa,Tristana,11.13,,,,
Renekton,Nautilus,Alistar,Leona,11.13,,,,
,,,,,Misfits Gaming,G2 Esports,blue_side,red_side
Akali,Renekton,Gwen,Jayce,11.13,,,,
Xin Zhao,Nocturne,Viego,Lee Sin,11.13,,,,
Kalista,Thresh,Sylas,Ryze,11.13,,,,
Nautilus,Rakan,Kaisa,Tristana,11.13,,,,
LeBlanc,Twisted Fate,Pyke,Braum,11.13,,,,
,,,,,Fnatic,SK Gaming,blue_side,red_side
Akali,Nocturne,Viego,Lee Sin,11.13,,,,
Thresh,Varus,Volibear,Gragas,11.13,,,,
Trundle,Xin Zhao,Ryze,Lucian,11.13,,,,
Renekton,Lulu,Tristana,Ezreal,11.13,,,,
Gwen,Rakan,Zilean,Braum,11.13,,,,
,,,,,FC Schalke 04,Astralis,red_side,blue_side
LeBlanc,Xin Zhao,Renekton,Gwen,11.13,,,,
Kalista,Lucian,Viego,Lee Sin,11.13,,,,
Thresh,Nocturne,Akali,Twisted Fate,11.13,,,,
Sylas,Volibear,Varus,Draven,11.13,,,,
Morgana,Braum,Leona,Galio,11.13,,,,
,,,,,Team Vitality,Excel Esports,red_side,blue_side
Thresh,Kalista,Olaf,Lee Sin,11.13,,,,
Nocturne,Renekton,Volibear,Kindred,11.13,,,,
Xin Zhao,Viego,Akali,Twisted Fate,11.13,,,,
Alistar,Braum,Tristana,Varus,11.13,,,,
Nautilus,Leona,Rakan,Galio,11.13,,,,
,,,,,Fnatic,FC Schalke 04,red_side,blue_side
Varus,Xin Zhao,Renekton,Gwen,11.13,,,,
Lucian,Akali,Volibear,Lee Sin,11.13,,,,
Nocturne,Draven,LeBlanc,Sylas,11.13,,,,
Nautilus,Lulu,Aphelios,Kaisa,11.13,,,,
Blitzcrank,Karma,Thresh,Leona,11.13,,,,
,,,,,Excel Esports,G2 Esports,blue_side,red_side
Lucian,Akali,Camille,Wukong,11.13,,,,
Nocturne,Gwen,Lee Sin,Viego,11.13,,,,
Thresh,Xin Zhao,LeBlanc,Sylas,11.13,,,,
Taric,Braum,Varus,Kalista,11.13,,,,
Volibear,Sett,Galio,Leona,11.13,,,,
,,,,,Misfits Gaming,MAD Lions,red_side,blue_side
Nocturne,Kalista,Gwen,Sett,11.13,,,,
Akali,Lucian,Viego,Lee Sin,11.13,,,,
Thresh,Xin Zhao,Orianna,Sylas,11.13,,,,
LeBlanc,Braum,Varus,Ezreal,11.13,,,,
Viktor,Renekton,Nautilus,Alistar,11.13,,,,
,,,,,Rogue,SK Gaming,blue_side,red_side
Varus,Nocturne,Renekton,Gangplank,11.13,,,,
Viego,Xin Zhao,Trundle,Rumble,11.13,,,,
Lee Sin,Kalista,Akali,Lucian,11.13,,,,
Braum,Skarner,Aphelios,Ezreal,11.13,,,,
Gwen,Volibear,Thresh,Nautilus,11.13,,,,
,,,,,Astralis,Team Vitality,blue_side,red_side
Varus,Lucian,Renekton,Viego,11.12,,,,
Tristana,Thresh,Xin Zhao,Rumble,11.12,,,,
Gwen,Akali,Sylas,Nocturne,11.12,,,,
Senna,Braum,Kalista,Jhin,11.12,,,,
Nautilus,Lulu,Taric,Pantheon,11.12,,,,
,,,,,Fnatic,G2 Esports,blue_side,red_side
Lucian,Akali,Sett,Jayce,11.12,,,,
Nocturne,Xin Zhao,Evelynn,Rumble,11.12,,,,
Lee Sin,Thresh,Viego,Ryze,11.12,,,,
