blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
Pantheon,Riven,Bard,Teemo,10.6,,,,
Heimerdinger,Ekko,Shyvana,Ornn,10.6,,,,
Lee Sin,Tryndamere,Zed,LeBlanc,10.6,,,,
Camille,Nasus,Aatrox,Quinn,10.6,,,,
Zyra,Illaoi,Swain,Annie,10.6,,,,
,,,,,G2 Esports,Misfits Gaming,blue_side,red_side
Kalista,Pantheon,Shen,Sion,10.6,,,,
Lee Sin,Aphelios,Evelynn,Gragas,10.6,,,,
Senna,Ornn,Graves,Viktor,10.6,,,,
Gangplank,Rakan,Jhin,Varus,10.6,,,,
Renekton,Sett,Jarvan IV,Thresh,10.6,,,,
,,,,,Fnatic,Team Vitality,red_side,blue_side
Kalista,Karthus,Gnar,Maokai,10.6,,,,
Senna,Gangplank,Elise,Lee Sin,10.6,,,,
Gragas,Tahm Kench,Ornn,Renekton,10.6,,,,
Miss Fortune,Aatrox,Aphelios,Syndra,10.6,,,,
Rakan,Olaf,Nautilus,Sett,10.6,,,,
,,,,,Origen,MAD Lions,red_side,blue_side
Pantheon,Senna,Gangplank,Sett,10.6,,,,
Gragas,Ornn,Kindred,Sejuani,10.6,,,,
Karthus,Nautilus,LeBlanc,Corki,10.6,,,,
Syndra,Trundle,Varus,Ezreal,10.6,,,,
Renekton,Ivern,Thresh,Rakan,10.6,,,,
,,,,,SK Gaming,Excel Esports,blue_side,red_side
Gragas,Kalista,Irelia,Jax,10.6,,,,
Ornn,Syndra,Pantheon,Sejuani,10.6,,,,
Ziggs,Senna,Corki,Azir,10.6,,,,
Renekton,LeBlanc,Aphelios,Miss Fortune,10.6,,,,
Gangplank,Ekko,Braum,Nautilus,10.6,,,,
,,,,,Rogue,FC Schalke 04,red_side,blue_side
Kalista,Pantheon,Sett,Aatrox,10.6,,,,
Irelia,Ornn,Olaf,Gragas,10.6,,,,
Senna,Aphelios,Syndra,Zoe,10.6,,,,
LeBlanc,Ezreal,Xayah,Miss Fortune,10.6,,,,
Rumble,Gangplank,Rakan,Thresh,10.6,,,,
,,,,,Fnatic,MAD Lions,blue_side,red_side
Gragas,Senna,Rumble,Renekton,10.6,,,,
Nautilus,Kalista,Pantheon,Karthus,10.6,,,,
Ornn,Thresh,Corki,Sylas,10.6,,,,
Yuumi,Gangplank,Aphelios,Ezreal,10.6,,,,
Pyke,Taliyah,Tahm Kench,Rakan,10.6,,,,
,,,,,Excel Esports,Origen,red_side,blue_side
Aphelios,Pantheon,Kalista,Jayce,10.6,,,,
Gragas,Karthus,RekSai,Lee Sin,10.6,,,,
Ornn,Syndra,Akali,Azir,10.6,,,,
Corki,LeBlanc,Galio,Ziggs,10.6,,,,
Maokai,Sett,Senna,Nautilus,10.6,,,,
,,,,,G2 Esports,FC Schalke 04,blue_side,red_side
Kalista,Pantheon,Sett,Renekton,10.6,,,,
Ornn,Aphelios,Sejuani,Gragas,10.6,,,,
Senna,Varus,Azir,Viktor,10.6,,,,
Taric,Irelia,Ezreal,Miss Fortune,10.6,,,,
Syndra,Kaisa,Nautilus,Braum,10.6,,,,
,,,,,Misfits Gaming,Team Vitality,blue_side,red_side
Ornn,Syndra,Maokai,Gangplank,10.6,,,,
Pantheon,Senna,Sejuani,Lee Sin,10.6,,,,
Ezreal,Kalista,Irelia,LeBlanc,10.6,,,,
Cassiopeia,Azir,Aphelios,Varus,10.6,,,,
No ban,Braum,Sett,Thresh,10.6,,,,
,,,,,Rogue,SK Gaming,red_side,blue_side
Kalista,Pantheon,Ornn,Vladimir,10.5,,,,
Irelia,Aphelios,Gragas,Lee Sin,10.5,,,,
Syndra,Senna,Cassiopeia,Viktor,10.5,,,,
Azir,Thresh,Ezreal,Xayah,10.5,,,,
Aatrox,Yuumi,Sett,Rakan,10.5,,,,
,,,,,Fnatic,Rogue,blue_side,red_side
Aphelios,Syndra,Neeko,Malphite,10.5,,,,
Renekton,Kalista,Pantheon,Nocturne,10.5,,,,
Ornn,Senna,Qiyana,Zoe,10.5,,,,
Irelia,Gangplank,Ziggs,Varus,10.5,,,,
Cassiopeia,Sylas,Bard,Tahm Kench,10.5,,,,
,,,,,G2 Esports,Excel Esports,blue_side,red_side
Olaf,Sejuani,Camille,Aatrox,10.5,,,,
Ornn,Senna,Jarvan IV,Gragas,10.5,,,,
LeBlanc,Aphelios,Orianna,Qiyana,10.5,,,,
Irelia,Gangplank,Miss Fortune,Kalista,10.5,,,,
Pantheon,Azir,Nautilus,Taric,10.5,,,,
,,,,,Misfits Gaming,MAD Lions,red_side,blue_side
Gangplank,Senna,Camille,Renekton,10.5,,,,
Syndra,Aphelios,Gragas,Karthus,10.5,,,,
Ornn,Sett,Pantheon,Maokai,10.5,,,,
Jayce,Yasuo,Varus,Miss Fortune,10.5,,,,
Gnar,Irelia,Tahm Kench,Nautilus,10.5,,,,
,,,,,SK Gaming,Origen,red_side,blue_side
Viktor,Aatrox,Jayce,Sion,10.5,,,,
Kalista,Aphelios,Gragas,Lee Sin,10.5,,,,
Senna,Nautilus,Corki,LeBlanc,10.5,,,,
Yuumi,Yasuo,Miss Fortune,Ezreal,10.5,,,,
Lucian,Sett,Thresh,Blitzcrank,10.5,,,,
,,,,,FC Schalke 04,Team Vitality,blue_side,red_side
Irelia,Senna,Sett,Aatrox,10.5,,,,
Aphelios,Syndra,Pantheon,Sejuani,10.5,,,,
Ornn,Kalista,Corki,Ekko,10.5,,,,
Morgana,Renekton,Taliyah,Draven,10.5,,,,
Blitzcrank,Jayce,Thresh,Nautilus,10.5,,,,
,,,,,G2 Esports,Rogue,blue_side,red_side
Kalista,Nautilus,Renekton,Olaf,10.5,,,,
Rakan,Karthus,Sylas,Gragas,10.5,,,,
Senna,Gangplank,Ornn,Azir,10.5,,,,
Thresh,Tahm Kench,Aphelios,Miss Fortune,10.5,,,,
Blitzcrank,Aatrox,Braum,Leona,10.5,,,,
,,,,,Origen,Team Vitality,blue_side,red_side
Rakan,Senna,Renekton,Pantheon,10.5,,,,
Miss Fortune,Aphelios,Karthus,Gragas,10.5,,,,
Sett,Kalista,Ornn,Cassiopeia,10.5,,,,
Ezreal,Tahm Kench,Draven,Kaisa,10.5,,,,
Braum,Nautilus,Blitzcrank,Thresh,10.5,,,,
,,,,,Excel Esports,Fnatic,red_side,blue_side
Aatrox,Senna,Gangplank,Maokai,10.5,,,,
Syndra,Karthus,Gragas,Lee Sin,10.5,,,,
Sett,Braum,Ornn,Azir,10.5,,,,
Sylas,Tahm Kench,Varus,Aphelios,10.5,,,,
Vladimir,Thresh,Galio,Nautilus,10.5,,,,
,,,,,Misfits Gaming,FC Schalke 04,red_side,blue_side
Karthus,LeBlanc,Gnar,Sett,10.5,,,,
Sejuani,Syndra,Olaf,Gragas,10.5,,,,
Ornn,Gangplank,Zoe,Viktor,10.5,,,,
Pantheon,Azir,Trundle,Aphelios,10.5,,,,
Irelia,Renekton,Senna,Tahm Kench,10.5,,,,
,,,,,MAD Lions,SK Gaming,blue_side,red_side
Syndra,Ornn,Sett,Janna,10.4,,,,
Senna,Pantheon,Gragas,Olaf,10.4,,,,
Karthus,Aphelios,Yasuo,Akali,10.4,,,,
Aatrox,Tristana,Kaisa,Ezreal,10.4,,,,
Kled,Xayah,Rakan,Yuumi,10.4,,,,
,,,,,Fnatic,G2 Esports,red_side,blue_side
Rakan,Karthus,Gangplank,Vladimir,10.4,,,,
Syndra,Ornn,Diana,Gragas,10.4,,,,
LeBlanc,Senna,Pantheon,Sett,10.4,,,,
Cassiopeia,Braum,Aphelios,Miss Fortune,10.4,,,,
Irelia,Tahm Kench,Thresh,Nautilus,10.4,,,,
,,,,,SK Gaming,FC Schalke 04,red_side,blue_side
LeBlanc,Ornn,Sett,Renekton,10.4,,,,
Gangplank,Senna,Sejuani,Gragas,10.4,,,,
Azir,Aatrox,Tristana,Viktor,10.4,,,,
Lucian,Rakan,Syndra,Aphelios,10.4,,,,
Cassiopeia,Taric,Nautilus,Braum,10.4,,,,
,,,,,Rogue,MAD Lions,blue_side,red_side
Viktor,Ornn,Gangplank,Sett,10.4,,,,
Rakan,Senna,Sejuani,Gragas,10.4,,,,
Diana,Karthus,Syndra,LeBlanc,10.4,,,,
Kalista,Renekton,Aphelios,Varus,10.4,,,,
Miss Fortune,Aatrox,Nautilus,Thresh,10.4,,,,
,,,,,Excel Esports,Team Vitality,blue_side,red_side
Sett,Ornn,Renekton,Mordekaiser,10.4,,,,
Senna,Karthus,Zac,Lee Sin,10.4,,,,
Gangplank,Gragas,Corki,Azir,10.4,,,,
Syndra,LeBlanc,Aphelios,Miss Fortune,10.4,,,,
Aatrox,Camille,Nautilus,Braum,10.4,,,,
,,,,,Origen,Misfits Gaming,blue_side,red_side
Syndra,Senna,Karma,Gangplank,10.4,,,,
Rakan,Ornn,Lee Sin,Gragas,10.4,,,,
Pantheon,Karthus,LeBlanc,Lulu,10.4,,,,
Cassiopeia,Sett,Aphelios,Miss Fortune,10.4,,,,
Ryze,Thresh,Braum,Zac,10.4,,,,
,,,,,SK Gaming,Fnatic,red_side,blue_side
Syndra,Ornn,Gangplank,Sett,10.4,,,,
Senna,Karthus,Zac,Lee Sin,10.4,,,,
Pantheon,Gragas,Orianna,Ekko,10.4,,,,
Vladimir,Corki,Aphelios,Ezreal,10.4,,,,
Akali,LeBlanc,Nautilus,Braum,10.4,,,,
,,,,,Origen,G2 Esports,red_side,blue_side
LeBlanc,Ornn,Aatrox,Sett,10.4,,,,
Gangplank,Syndra,Gragas,Karthus,10.4,,,,
Senna,Viktor,Azir,Corki,10.4,,,,
Rakan,Thresh,Aphelios,Miss Fortune,10.4,,,,
Tristana,Taric,Nautilus,Braum,10.4,,,,
,,,,,FC Schalke 04,MAD Lions,red_side,blue_side
Sett,Ornn,Renekton,Aatrox,10.4,,,,
Gangplank,Karthus,Gragas,Sejuani,10.4,,,,
Rakan,Yuumi,Pantheon,Akali,10.4,,,,
Azir,Tahm Kench,Galio,Aphelios,10.4,,,,
Corki,Taric,Senna,Braum,10.4,,,,
,,,,,Excel Esports,Misfits Gaming,red_side,blue_side
Aatrox,Senna,Renekton,Sett,10.4,,,,
Pantheon,Ornn,Lee Sin,Gragas,10.4,,,,
Aphelios,Viktor,Syndra,Azir,10.4,,,,
Yasuo,Cassiopeia,Xayah,Kalista,10.4,,,,
Lucian,Braum,Rakan,Nautilus,10.4,,,,
,,,,,Team Vitality,Rogue,red_side,blue_side
Gragas,Pantheon,Sett,Mordekaiser,10.4,,,,
Senna,Ornn,Lee Sin,RekSai,10.4,,,,
Sejuani,Syndra,Diana,Azir,10.4,,,,
LeBlanc,Gangplank,Aphelios,Xayah,10.4,,,,
Aatrox,Veigar,Tahm Kench,Rakan,10.4,,,,
,,,,,Fnatic,FC Schalke 04,blue_side,red_side
Gragas,Ornn,Gangplank,Vladimir,10.4,,,,
Rakan,Karthus,Trundle,Sejuani,10.4,,,,
Aphelios,Pantheon,Cassiopeia,Lucian,10.4,,,,
LeBlanc,Galio,Ezreal,Varus,10.4,,,,
Irelia,Syndra,Senna,Tahm Kench,10.4,,,,
,,,,,SK Gaming,Misfits Gaming,red_side,blue_side
Sett,Pantheon,Vladimir,Ornn,10.4,,,,
Aphelios,Syndra,RekSai,Lee Sin,10.4,,,,
Karthus,Aatrox,Akali,Ryze,10.4,,,,
Thresh,Tahm Kench,Taric,Miss Fortune,10.4,,,,
LeBlanc,Jarvan IV,Senna,Rakan,10.4,,,,
,,,,,G2 Esports,Team Vitality,blue_side,red_side
Gangplank,Syndra,Ornn,Renekton,10.4,,,,
Nautilus,Senna,Lee Sin,Gragas,10.4,,,,
Rakan,Azir,LeBlanc,Corki,10.4,,,,
Yasuo,Olaf,Ezreal,Aphelios,10.4,,,,
Aatrox,Kled,Yuumi,Leona,10.4,,,,
,,,,,Rogue,Origen,red_side,blue_side
Gangplank,Ornn,Sett,Renekton,10.4,,,,
Rakan,Senna,Olaf,Karthus,10.4,,,,
Syndra,LeBlanc,Zoe,Tristana,10.4,,,,
Elise,Azir,Kalista,Aphelios,10.4,,,,
Pantheon,Gragas,Taric,Thresh,10.4,,,,
,,,,,MAD Lions,Excel Esports,red_side,blue_side
Ezreal,Ornn,Gnar,Kennen,10.4,,,,
Karthus,Syndra,Pantheon,Sejuani,10.4,,,,
Aphelios,Senna,Zoe,Sett,10.4,,,,
Gangplank,Miss Fortune,Taliyah,Xayah,10.4,,,,
Orianna,Aatrox,Thresh,Rakan,10.4,,,,
,,,,,G2 Esports,SK Gaming,blue_side,red_side
LeBlanc,Ornn,Gangplank,Zac,10.4,,,,
Sett,Senna,Sejuani,Lee Sin,10.4,,,,
Syndra,Pantheon,Ziggs,Azir,10.4,,,,
Diana,Lucian,Aphelios,Miss Fortune,10.4,,,,
Vladimir,Qiyana,Braum,Taric,10.4,,,,
,,,,,Team Vitality,MAD Lions,red_side,blue_side
Karthus,Gragas,Sett,Gangplank,10.4,,,,
Syndra,Senna,Pantheon,RekSai,10.4,,,,
Ornn,Sejuani,Azir,Veigar,10.4,,,,
Jarvan IV,Taliyah,Xayah,Aphelios,10.4,,,,
Lee Sin,Vladimir,Rakan,Tahm Kench,10.4,,,,
,,,,,Misfits Gaming,Fnatic,red_side,blue_side
Gangplank,Syndra,Kled,Aatrox,10.4,,,,
Rakan,Aphelios,Lee Sin,Zac,10.4,,,,
Nautilus,Ornn,Ekko,Azir,10.4,,,,
Yuumi,LeBlanc,Tahm Kench,Ezreal,10.4,,,,
Sejuani,Tristana,Senna,Karma,10.4,,,,
,,,,,Rogue,Excel Esports,blue_side,red_side
Karthus,Rakan,Poppy,Aatrox,10.4,,,,
Gragas,Senna,Jarvan IV,Sejuani,10.4,,,,
Gangplank,Ornn,Syndra,Nautilus,10.4,,,,
Ezreal,Thresh,Aphelios,Tristana,10.4,,,,
LeBlanc,Camille,Braum,Yuumi,10.4,,,,
,,,,,FC Schalke 04,Origen,red_side,blue_side
Gragas,Rakan,Sett,Aatrox,10.3,,,,
Syndra,Soraka,Lee Sin,Sejuani,10.3,,,,
Qiyana,Ornn,LeBlanc,Sylas,10.3,,,,
Diana,Ezreal,Kalista,Miss Fortune,10.3,,,,
Thresh,Aphelios,Taric,Nautilus,10.3,,,,
,,,,,MAD Lions,G2 Esports,blue_side,red_side
Rakan,Gragas,Soraka,Pantheon,10.3,,,,
Sett,Karthus,RekSai,Taliyah,10.3,,,,
Braum,Gangplank,Ryze,Ornn,10.3,,,,
Cassiopeia,Aatrox,Miss Fortune,Aphelios,10.3,,,,
Leona,Olaf,Nautilus,Thresh,10.3,,,,
,,,,,Origen,Fnatic,red_side,blue_side
Karthus,Aphelios,Sett,Aatrox,10.3,,,,
Yuumi,Soraka,Gragas,Sejuani,10.3,,,,
Rakan,Ornn,Ryze,Azir,10.3,,,,
Thresh,Olaf,Ezreal,Miss Fortune,10.3,,,,
Syndra,LeBlanc,Braum,Nautilus,10.3,,,,
,,,,,Team Vitality,SK Gaming,blue_side,red_side
Ornn,Soraka,Aatrox,Sett,10.3,,,,
Rakan,Syndra,Jarvan IV,Gragas,10.3,,,,
Nautilus,Aphelios,Azir,Zoe,10.3,,,,
Leona,Olaf,Ezreal,Miss Fortune,10.3,,,,
LeBlanc,Sejuani,Yuumi,Pyke,10.3,,,,
,,,,,Rogue,Misfits Gaming,blue_side,red_side
Sett,Soraka,Gangplank,Aatrox,10.3,,,,
Aphelios,Syndra,Karthus,Sejuani,10.3,,,,
Nautilus,Yuumi,Ornn,Viktor,10.3,,,,
Azir,LeBlanc,Xayah,Miss Fortune,10.3,,,,
Ryze,Olaf,Rakan,Braum,10.3,,,,
,,,,,Excel Esports,FC Schalke 04,blue_side,red_side
Yuumi,Aphelios,Gangplank,Vladimir,10.3,,,,
Rakan,Gragas,Nidalee,Karthus,10.3,,,,
Soraka,Syndra,Ornn,Sett,10.3,,,,
Braum,Lucian,Miss Fortune,Ezreal,10.3,,,,
Leona,Elise,Nautilus,Tahm Kench,10.3,,,,
,,,,,Origen,SK Gaming,blue_side,red_side
Pantheon,Soraka,Kled,Zac,10.3,,,,
Aphelios,Gragas,Lee Sin,RekSai,10.3,,,,
Yuumi,Aatrox,Syndra,Ornn,10.3,,,,
Gangplank,Thresh,Xayah,Ezreal,10.3,,,,
Karthus,Nautilus,Leona,Rakan,10.3,,,,
,,,,,Rogue,Fnatic,red_side,blue_side
Ezreal,Syndra,Aatrox,Sett,10.3,,,,
Rakan,Soraka,Karthus,Gragas,10.3,,,,
Jarvan IV,Aphelios,Ornn,Vayne,10.3,,,,
Yasuo,Pantheon,Miss Fortune,Varus,10.3,,,,
Braum,Qiyana,Leona,Nautilus,10.3,,,,
,,,,,G2 Esports,Excel Esports,blue_side,red_side
Gragas,Yuumi,Ornn,Aatrox,10.3,,,,
LeBlanc,Soraka,Lee Sin,RekSai,10.3,,,,
Sett,Syndra,Zoe,Viktor,10.3,,,,
Sejuani,Thresh,Kaisa,Aphelios,10.3,,,,
Jarvan IV,Rakan,Nautilus,Braum,10.3,,,,
,,,,,Team Vitality,FC Schalke 04,red_side,blue_side
Xayah,Soraka,Gangplank,Sett,10.3,,,,
