blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
Thresh,Lee Sin,Renekton,Viego,11.15,,,,
Tahm Kench,Irelia,Elise,Graves,11.15,,,,
Xin Zhao,Twisted Fate,Ekko,Syndra,11.15,,,,
Gnar,Kalista,Ezreal,Varus,11.15,,,,
Braum,Ziggs,Leona,Rell,11.15,,,,
,,,,,CLG,FlyQuest,blue_side,red_side
Lulu,Renekton,Wukong,Jayce,11.15,,,,
Volibear,Diana,Xin Zhao,Viego,11.15,,,,
Irelia,LeBlanc,Twisted Fate,Azir,11.15,,,,
Camille,Ryze,Aphelios,Varus,11.15,,,,
Syndra,Ekko,Braum,Thresh,11.15,,,,
,,,,,Evil Geniuses,100 Thieves,blue_side,red_side
Thresh,LeBlanc,Camille,Jayce,11.15,,,,
Varus,Diana,Xin Zhao,Viego,11.15,,,,
Olaf,Kalista,Twisted Fate,Azir,11.15,,,,
Gangplank,Irelia,Aphelios,Ezreal,11.15,,,,
Malphite,Syndra,Braum,Leona,11.15,,,,
,,,,,Cloud9,Team Liquid,blue_side,red_side
Draven,Syndra,Renekton,Ornn,11.15,,,,
Thresh,Diana,Viego,Hecarim,11.15,,,,
Lucian,Xin Zhao,Sylas,Cassiopeia,11.15,,,,
Tahm Kench,Orianna,Kalista,Varus,11.15,,,,
Leona,LeBlanc,Braum,Rakan,11.15,,,,
,,,,,Golden Guardians,Immortals,blue_side,red_side
Fiora,Tahm Kench,Camille,Kalista,11.15,,,,
Twisted Fate,Syndra,Viego,Gragas,11.15,,,,
Xin Zhao,Malphite,Orianna,Yasuo,11.15,,,,
Urgot,Olaf,Cassiopeia,Swain,11.15,,,,
Shaco,Poppy,Rakan,Alistar,11.15,,,,
,,,,,TSM,Dignitas,red_side,blue_side
Olaf,Renekton,Gnar,Camille,11.15,,,,
Varus,LeBlanc,Xin Zhao,Viego,11.15,,,,
Thresh,Ryze,Syndra,Orianna,11.15,,,,
Gangplank,Nautilus,Kaisa,Tristana,11.15,,,,
Irelia,Twisted Fate,Galio,Leona,11.15,,,,
,,,,,Evil Geniuses,Team Liquid,red_side,blue_side
Renekton,Lee Sin,Gangplank,Tahm Kench,11.15,,,,
Syndra,Irelia,Xin Zhao,Olaf,11.15,,,,
Viego,Twisted Fate,Lulu,Orianna,11.15,,,,
Jayce,LeBlanc,Aphelios,Kalista,11.15,,,,
Leona,Ryze,Thresh,Rakan,11.15,,,,
,,,,,CLG,TSM,red_side,blue_side
LeBlanc,Syndra,Renekton,Volibear,11.15,,,,
Ziggs,Xin Zhao,Diana,Viego,11.15,,,,
Draven,Thresh,Yone,Akali,11.15,,,,
Ryze,Irelia,Ashe,Kalista,11.15,,,,
Cassiopeia,Lucian,Rell,Leona,11.15,,,,
,,,,,FlyQuest,Immortals,blue_side,red_side
Renekton,Olaf,Tahm Kench,Aatrox,11.15,,,,
Thresh,Syndra,Viego,Zac,11.15,,,,
Diana,Xin Zhao,LeBlanc,Irelia,11.15,,,,
Volibear,Taric,Kalista,Ziggs,11.15,,,,
Sejuani,Leona,Alistar,Nautilus,11.15,,,,
,,,,,Cloud9,Dignitas,blue_side,red_side
Diana,Xin Zhao,Gwen,Singed,11.15,,,,
Tahm Kench,Thresh,Viego,Olaf,11.15,,,,
Kalista,LeBlanc,Orianna,Syndra,11.15,,,,
Volibear,Ryze,Varus,Jhin,11.15,,,,
Zac,Renekton,Nautilus,Leona,11.15,,,,
,,,,,100 Thieves,Golden Guardians,blue_side,red_side
Syndra,Ryze,Tahm Kench,Renekton,11.15,,,,
Irelia,LeBlanc,Viego,Diana,11.15,,,,
Xin Zhao,Lee Sin,Twisted Fate,Sylas,11.15,,,,
Yasuo,Gnar,Aphelios,Kalista,11.15,,,,
Lucian,Gwen,Thresh,Nautilus,11.15,,,,
,,,,,CLG,Dignitas,red_side,blue_side
Diana,Irelia,Camille,Renekton,11.15,,,,
Kalista,Xin Zhao,Viego,Zac,11.15,,,,
Trundle,Thresh,Galio,Tristana,11.15,,,,
Volibear,Lee Sin,Ziggs,Syndra,11.15,,,,
Graves,Nautilus,Tahm Kench,Leona,11.15,,,,
,,,,,FlyQuest,Golden Guardians,red_side,blue_side
Renekton,Diana,Jayce,Malphite,11.15,,,,
Varus,Ziggs,Xin Zhao,Olaf,11.15,,,,
Gangplank,Tahm Kench,LeBlanc,Lulu,11.15,,,,
Ashe,Leona,Draven,Caitlyn,11.15,,,,
Aphelios,Nautilus,Blitzcrank,Thresh,11.15,,,,
,,,,,Immortals,Team Liquid,red_side,blue_side
Olaf,Renekton,Gnar,Lee Sin,11.15,,,,
Syndra,Xin Zhao,Viego,Diana,11.15,,,,
Kalista,Lucian,Twisted Fate,Yasuo,11.15,,,,
Nautilus,Ryze,Aphelios,Varus,11.15,,,,
Irelia,LeBlanc,Thresh,Leona,11.15,,,,
,,,,,Evil Geniuses,Cloud9,blue_side,red_side
Jayce,Aphelios,Gnar,Viego,11.15,,,,
Tahm Kench,Kalista,Olaf,Diana,11.15,,,,
Syndra,Xin Zhao,Sylas,Cassiopeia,11.15,,,,
Orianna,Gwen,Varus,Jhin,11.15,,,,
Lucian,Ryze,Thresh,Leona,11.15,,,,
,,,,,100 Thieves,TSM,red_side,blue_side
