blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
Azir,Gwen,Gnar,Ornn,12.14,,,,
LeBlanc,Jarvan IV,Poppy,Trundle,12.14,,,,
Zeri,Sivir,Sylas,Taliyah,12.14,,,,
Lucian,Amumu,Aphelios,Ezreal,12.14,,,,
Renata Glasc,Lulu,Yuumi,Pyke,12.14,,,,
,,,,,Misfits Gaming,Fnatic,blue_side,red_side
Gnar,Sivir,Gwen,Kennen,12.14,,,,
Twitch,Yuumi,Poppy,Wukong,12.14,,,,
Azir,Zeri,Twisted Fate,Orianna,12.14,,,,
Braum,Lissandra,Draven,Aphelios,12.14,,,,
Sylas,Nautilus,Thresh,Renata Glasc,12.14,,,,
,,,,,Excel Esports,Team Vitality,blue_side,red_side
Azir,Poppy,Gwen,Ornn,12.14,,,,
Wukong,Akali,Vi,Trundle,12.14,,,,
LeBlanc,Yuumi,Zoe,Ahri,12.14,,,,
Gragas,Sylas,Sivir,Zeri,12.14,,,,
Rakan,Lulu,Leona,Renata Glasc,12.14,,,,
,,,,,Misfits Gaming,Fnatic,red_side,blue_side
Azir,LeBlanc,Aatrox,Ornn,12.14,,,,
Kalista,Gwen,Trundle,Poppy,12.14,,,,
Jarvan IV,Gnar,Ahri,Viktor,12.14,,,,
Vi,Renekton,Zeri,Sivir,12.14,,,,
Wukong,Sejuani,Yuumi,Lulu,12.14,,,,
,,,,,Team Vitality,Rogue,red_side,blue_side
Draven,Kalista,Renekton,Gwen,12.14,,,,
Trundle,Poppy,Jarvan IV,Pantheon,12.14,,,,
Sivir,Vi,LeBlanc,Lissandra,12.14,,,,
Taric,Nautilus,Samira,Aphelios,12.14,,,,
Renata Glasc,Zeri,Rell,Braum,12.14,,,,
,,,,,SK Gaming,G2 Esports,red_side,blue_side
Gwen,Yuumi,Renekton,Sion,12.14,,,,
Ornn,Taliyah,Wukong,Jarvan IV,12.14,,,,
Renata Glasc,Poppy,Vex,LeBlanc,12.14,,,,
Gnar,Lissandra,Sivir,Aphelios,12.14,,,,
Alistar,Twisted Fate,Rakan,Galio,12.14,,,,
,,,,,MAD Lions,Team BDS,blue_side,red_side
Wukong,Yuumi,Sion,Poppy,12.14,,,,
Ornn,Sivir,Trundle,Viego,12.14,,,,
Twitch,Gwen,Azir,Sylas,12.14,,,,
Bard,Lulu,Zeri,Ezreal,12.14,,,,
Rakan,Shyvana,Renata Glasc,Karma,12.14,,,,
,,,,,Excel Esports,Astralis,blue_side,red_side
Yuumi,Draven,Yone,Sejuani,12.14,,,,
Twitch,Gwen,Jarvan IV,Trundle,12.14,,,,
Ornn,Taliyah,Sylas,Ahri,12.14,,,,
Akali,LeBlanc,Sivir,Zeri,12.14,,,,
Lulu,Karma,Ashe,Renata Glasc,12.14,,,,
,,,,,G2 Esports,Misfits Gaming,blue_side,red_side
Gwen,Wukong,Gnar,Gragas,12.14,,,,
LeBlanc,Yuumi,Trundle,Poppy,12.14,,,,
Ahri,Taliyah,Azir,Sylas,12.14,,,,
