blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
Xayah,Elise,Yone,Sion,13.5,,,,
Jinx,Annie,Gragas,Wukong,13.5,,,,
Zeri,Kalista,Taliyah,Lissandra,13.5,,,,
Viego,Sejuani,Varus,Kaisa,13.5,,,,
Lee Sin,Vi,Rakan,Nautilus,13.5,,,,
,,,,,CLG,100 Thieves,red_side,blue_side
Zeri,Elise,KSante,Sion,13.5,,,,
Jinx,Annie,Sejuani,Viego,13.5,,,,
Xayah,Gragas,Taliyah,Lissandra,13.5,,,,
Wukong,Ashe,Varus,Kaisa,13.5,,,,
Lee Sin,Heimerdinger,Thresh,Rakan,13.5,,,,
,,,,,Evil Geniuses,100 Thieves,red_side,blue_side
Gragas,Vi,Sion,Jax,13.5,,,,
LeBlanc,Annie,Xin Zhao,Elise,13.5,,,,
Varus,Caitlyn,Ahri,Jayce,13.5,,,,
Nautilus,Lee Sin,Aphelios,Draven,13.5,,,,
Blitzcrank,Jarvan IV,Thresh,Renata Glasc,13.5,,,,
,,,,,FlyQuest,Cloud9,red_side,blue_side
Graves,Gragas,Sion,Gwen,13.5,,,,
Kindred,Zeri,Wukong,Vi,13.5,,,,
Varus,Caitlyn,Annie,Ahri,13.5,,,,
Gnar,Lee Sin,Jinx,Xayah,13.5,,,,
Elise,Viego,Thresh,Rakan,13.5,,,,
,,,,,100 Thieves,Immortals,blue_side,red_side
Gragas,Gnar,KSante,Sion,13.5,,,,
Elise,Sejuani,Vi,Kindred,13.5,,,,
Caitlyn,Gwen,Veigar,Syndra,13.5,,,,
Lee Sin,Lulu,Zeri,Jinx,13.5,,,,
LeBlanc,Orianna,Annie,Tahm Kench,13.5,,,,
,,,,,Dignitas,Golden Guardians,blue_side,red_side
Kindred,Annie,KSante,Fiora,13.5,,,,
Rakan,Elise,Gragas,Lee Sin,13.5,,,,
Thresh,Varus,Jayce,Ryze,13.5,,,,
LeBlanc,Sion,Aphelios,Jinx,13.5,,,,
Ahri,Lulu,Soraka,Tahm Kench,13.5,,,,
,,,,,Evil Geniuses,Team Liquid,red_side,blue_side
Taliyah,Caitlyn,Jax,KSante,13.5,,,,
Rakan,Varus,Vi,Wukong,13.5,,,,
Elise,Lee Sin,Annie,Syndra,13.5,,,,
Aurelion Sol,Lulu,Zeri,Jinx,13.5,,,,
Orianna,Ahri,Heimerdinger,Thresh,13.5,,,,
,,,,,FlyQuest,TSM,blue_side,red_side
Kalista,Rakan,Sion,Chogath,13.5,,,,
Heimerdinger,Annie,Sejuani,Gragas,13.5,,,,
Lee Sin,Jinx,Taliyah,Jayce,13.5,,,,
Thresh,Irelia,Zeri,Varus,13.5,,,,
KSante,Yone,Lulu,Ashe,13.5,,,,
,,,,,CLG,Cloud9,blue_side,red_side
Sejuani,Elise,Sion,Chogath,13.5,,,,
Thresh,Annie,Wukong,Vi,13.5,,,,
Rakan,Caitlyn,Taliyah,Anivia,13.5,,,,
Gnar,Renata Glasc,Varus,Lucian,13.5,,,,
LeBlanc,Nautilus,Soraka,Nami,13.5,,,,
,,,,,TSM,Dignitas,blue_side,red_side
Kindred,Gragas,Jayce,Fiora,13.5,,,,
Graves,LeBlanc,Elise,Viego,13.5,,,,
Rakan,Annie,KSante,Zoe,13.5,,,,
VelKoz,Yone,Varus,Kalista,13.5,,,,
Gnar,Heimerdinger,Braum,Nautilus,13.5,,,,
,,,,,Cloud9,Immortals,blue_side,red_side
Thresh,Annie,Gwen,Sion,13.5,,,,
Rakan,Sejuani,Elise,Wukong,13.5,,,,
Lee Sin,Gragas,Jayce,Akali,13.5,,,,
Ahri,Yone,Jinx,Zeri,13.5,,,,
Veigar,Renekton,Nautilus,Lulu,13.5,,,,
,,,,,CLG,Team Liquid,blue_side,red_side
Chogath,Gragas,KSante,Malphite,13.5,,,,
Sion,Annie,Elise,Vi,13.5,,,,
Zeri,Xayah,Tristana,LeBlanc,13.5,,,,
Taliyah,Renekton,Varus,Lucian,13.5,,,,
Ahri,Yone,Nautilus,Nami,13.5,,,,
,,,,,FlyQuest,Golden Guardians,blue_side,red_side
Elise,Annie,Gragas,KSante,13.5,,,,
Aphelios,Zeri,Viego,Sejuani,13.5,,,,
Varus,Vi,Ahri,Veigar,13.5,,,,
Akali,Lee Sin,Xayah,Caitlyn,13.5,,,,
Sylas,Wukong,Rakan,Lux,13.5,,,,
,,,,,100 Thieves,Evil Geniuses,blue_side,red_side
Aurelion Sol,Caitlyn,Sion,Yone,13.5,,,,
Annie,Chogath,Elise,Sejuani,13.5,,,,
Vi,Jinx,Jayce,Orianna,13.5,,,,
Gragas,Lee Sin,Aphelios,Xayah,13.5,,,,
LeBlanc,Wukong,Thresh,Rakan,13.5,,,,
,,,,,Golden Guardians,CLG,red_side,blue_side
Zoe,Gragas,Sion,KSante,13.5,,,,
Xayah,LeBlanc,Lee Sin,Kindred,13.5,,,,
VelKoz,Sylas,Annie,Galio,13.5,,,,
Gwen,Ryze,Lucian,Varus,13.5,,,,
Camille,Zeri,Nami,Nautilus,13.5,,,,
,,,,,Evil Geniuses,Immortals,red_side,blue_side
Elise,Lee Sin,Sion,KSante,13.5,,,,
Caitlyn,Gragas,Wukong,Sejuani,13.5,,,,
Vi,Zeri,Annie,Aurelion Sol,13.5,,,,
Chogath,Thresh,Jinx,Xayah,13.5,,,,
Gnar,Ezreal,Renata Glasc,Rakan,13.5,,,,
,,,,,100 Thieves,TSM,blue_side,red_side
Gragas,Elise,Sejuani,KSante,13.5,,,,
Thresh,Annie,Wukong,Lee Sin,13.5,,,,
Vi,Caitlyn,Akali,Taliyah,13.5,,,,
LeBlanc,Gnar,Xayah,Varus,13.5,,,,
Renekton,Jayce,Rakan,Heimerdinger,13.5,,,,
,,,,,Team Liquid,Dignitas,blue_side,red_side
Vi,Lee Sin,Fiora,KSante,13.5,,,,
Sion,Gragas,Wukong,Sejuani,13.5,,,,
Caitlyn,Varus,Orianna,Akali,13.5,,,,
Renekton,LeBlanc,Draven,Zeri,13.5,,,,
Jax,Nautilus,Annie,Lulu,13.5,,,,
,,,,,Cloud9,FlyQuest,blue_side,red_side
Vi,Sejuani,Sion,Chogath,13.4,,,,
Annie,Varus,Elise,Viego,13.4,,,,
Caitlyn,Gragas,Jayce,Veigar,13.4,,,,
Azir,Zeri,Ezreal,Xayah,13.4,,,,
Taliyah,Ashe,Soraka,Rakan,13.4,,,,
,,,,,Golden Guardians,TSM,blue_side,red_side
Zeri,Elise,Renekton,Gragas,13.4,,,,
Caitlyn,Ashe,Sejuani,Viego,13.4,,,,
Vi,Annie,Azir,Taliyah,13.4,,,,
Lee Sin,Gnar,Aphelios,Xayah,13.4,,,,
Aurelion Sol,KSante,Thresh,Rakan,13.4,,,,
,,,,,Dignitas,100 Thieves,red_side,blue_side
Aurelion Sol,Sejuani,Sion,KSante,13.4,,,,
Irelia,Thresh,Poppy,Vi,13.4,,,,
Annie,Caitlyn,Azir,Gragas,13.4,,,,
Yone,Orianna,Varus,Kalista,13.4,,,,
Gwen,Tristana,Ashe,Nautilus,13.4,,,,
,,,,,Evil Geniuses,CLG,blue_side,red_side
Zoe,Caitlyn,Sion,KSante,13.4,,,,
Varus,Zeri,Vi,Viego,13.4,,,,
Annie,Gragas,Ahri,Galio,13.4,,,,
Veigar,Jax,Kaisa,Xayah,13.4,,,,
Lissandra,Renekton,Rakan,Nautilus,13.4,,,,
,,,,,FlyQuest,Immortals,blue_side,red_side
Sejuani,Gragas,Sion,Chogath,13.4,,,,
Vi,Caitlyn,Viego,Lee Sin,13.4,,,,
Aphelios,Ashe,Syndra,Akali,13.4,,,,
Gnar,Lulu,Zeri,Xayah,13.4,,,,
Ahri,LeBlanc,Annie,Rakan,13.4,,,,
,,,,,Cloud9,Team Liquid,blue_side,red_side
Gnar,Elise,Gragas,Renekton,13.4,,,,
Caitlyn,Annie,Viego,Sejuani,13.4,,,,
Karma,Ashe,Aurelion Sol,Cassiopeia,13.4,,,,
Taliyah,Vi,Xayah,Aphelios,13.4,,,,
Syndra,Sion,Rakan,Thresh,13.4,,,,
,,,,,CLG,Dignitas,red_side,blue_side
Xayah,Elise,Sion,Gnar,13.4,,,,
Kindred,Zeri,Wukong,Viego,13.4,,,,
Zoe,Ashe,Annie,VelKoz,13.4,,,,
Ahri,Vi,Caitlyn,Varus,13.4,,,,
Veigar,Lee Sin,Karma,Nautilus,13.4,,,,
,,,,,TSM,Immortals,blue_side,red_side
Vi,Ashe,Sion,KSante,13.4,,,,
Sejuani,Annie,Gragas,Elise,13.4,,,,
Varus,Caitlyn,Tryndamere,Yone,13.4,,,,
Renekton,LeBlanc,Lucian,Aphelios,13.4,,,,
Jayce,Akali,Nami,Thresh,13.4,,,,
,,,,,Cloud9,Evil Geniuses,blue_side,red_side
Elise,Annie,Gragas,Renekton,13.4,,,,
Caitlyn,Ashe,Lee Sin,Sejuani,13.4,,,,
Chogath,Aurelion Sol,Azir,Yone,13.4,,,,
Lulu,Sion,Xayah,Zeri,13.4,,,,
Sylas,Vi,Rakan,Soraka,13.4,,,,
,,,,,100 Thieves,Golden Guardians,blue_side,red_side
Varus,Gragas,KSante,Chogath,13.4,,,,
Vi,Caitlyn,Sejuani,Lee Sin,13.4,,,,
Gnar,Annie,Sylas,Ahri,13.4,,,,
Akali,Renekton,Lucian,Aphelios,13.4,,,,
Sion,Yone,Nami,Thresh,13.4,,,,
,,,,,FlyQuest,Team Liquid,red_side,blue_side
Caitlyn,Rakan,KSante,Renekton,13.4,,,,
Elise,Ashe,Vi,Sejuani,13.4,,,,
Lucian,Zoe,Ahri,LeBlanc,13.4,,,,
Sylas,Fiora,Zeri,Varus,13.4,,,,
Yone,Sion,Lulu,Thresh,13.4,,,,
,,,,,Immortals,Golden Guardians,red_side,blue_side
Taliyah,Elise,Gnar,Sion,13.4,,,,
Gragas,Varus,Nocturne,Vi,13.4,,,,
Ashe,Aphelios,Aurelion Sol,Syndra,13.4,,,,
