blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
Gragas,Draven,Renekton,KSante,13.4,,,,
Sejuani,Vi,Wukong,Maokai,13.4,,,,
Jayce,Annie,Taliyah,Azir,13.4,,,,
Gnar,Ahri,Xayah,Zeri,13.4,,,,
Jax,Gwen,Nautilus,Rakan,13.4,,,,
,,,,,Team Heretics,MAD Lions,red_side,blue_side
Malphite,Rakan,KSante,Jayce,13.4,,,,
Gragas,Annie,Xin Zhao,Sejuani,13.4,,,,
Varus,Caitlyn,Orianna,Aurelion Sol,13.4,,,,
Elise,Azir,Xayah,Zeri,13.4,,,,
LeBlanc,Twisted Fate,Nautilus,Braum,13.4,,,,
,,,,,KOI,Team Vitality,red_side,blue_side
Draven,Annie,Jayce,Olaf,13.4,,,,
Maokai,Rakan,Vi,Viego,13.4,,,,
Gragas,Xayah,Ahri,Sylas,13.4,,,,
Malphite,Pyke,Varus,Sivir,13.4,,,,
Lissandra,Rell,Heimerdinger,Ashe,13.4,,,,
,,,,,MAD Lions,G2 Esports,red_side,blue_side
Wukong,Annie,Jax,Jayce,13.4,,,,
Vi,Elise,Maokai,Sejuani,13.4,,,,
Lee Sin,Rakan,Zed,LeBlanc,13.4,,,,
Gangplank,Braum,Xayah,Jinx,13.4,,,,
Nautilus,Leona,Blitzcrank,Thresh,13.4,,,,
,,,,,Astralis,Fnatic,blue_side,red_side
Elise,Draven,KSante,Jax,13.4,,,,
Sejuani,Zeri,Vi,Maokai,13.4,,,,
Annie,Rakan,Ahri,Azir,13.4,,,,
Ashe,Gragas,Xayah,Varus,13.4,,,,
Renata Glasc,Kennen,Nautilus,Braum,13.4,,,,
,,,,,Team Heretics,SK Gaming,blue_side,red_side
Draven,Annie,Sett,Olaf,13.4,,,,
Maokai,Caitlyn,Wukong,Sejuani,13.4,,,,
Xayah,Lulu,Azir,Gragas,13.4,,,,
Gnar,Ashe,Varus,Zeri,13.4,,,,
Jax,Darius,Renata Glasc,Rakan,13.4,,,,
,,,,,Team BDS,Excel Esports,blue_side,red_side
Nautilus,Draven,KSante,Jax,13.4,,,,
Jayce,Annie,Vi,Wukong,13.4,,,,
Caitlyn,Xayah,Sylas,Azir,13.4,,,,
LeBlanc,Taliyah,Zeri,Sivir,13.4,,,,
Olaf,Aurelion Sol,Renata Glasc,Rakan,13.4,,,,
,,,,,G2 Esports,Fnatic,red_side,blue_side
Draven,Caitlyn,Malphite,Jax,13.4,,,,
Rakan,Annie,Wukong,Sejuani,13.4,,,,
Vi,Jayce,Sylas,LeBlanc,13.4,,,,
KSante,Gragas,Zeri,Jinx,13.4,,,,
Cassiopeia,Azir,Lulu,Nautilus,13.4,,,,
,,,,,Team Vitality,Team Heretics,blue_side,red_side
Blitzcrank,Annie,Renekton,Malphite,13.4,,,,
Xayah,Caitlyn,Vi,Sejuani,13.4,,,,
Olaf,Gnar,Corki,Azir,13.4,,,,
Darius,Twisted Fate,Varus,Zeri,13.4,,,,
Sylas,Jayce,Ashe,Nautilus,13.4,,,,
,,,,,KOI,Team BDS,red_side,blue_side
Caitlyn,Gragas,Kennen,Sion,13.4,,,,
Elise,Annie,Lee Sin,Vi,13.4,,,,
Draven,Rakan,Lissandra,Sylas,13.4,,,,
Malphite,Nautilus,Xayah,Zeri,13.4,,,,
Soraka,Rell,Pyke,Lulu,13.4,,,,
,,,,,MAD Lions,SK Gaming,blue_side,red_side
Sejuani,Draven,KSante,Jax,13.4,,,,
Elise,Xayah,Maokai,Viego,13.4,,,,
Rakan,Annie,Jayce,Irelia,13.4,,,,
Leona,Sivir,Jhin,Varus,13.4,,,,
Gwen,Caitlyn,Heimerdinger,Ashe,13.4,,,,
,,,,,Excel Esports,Astralis,red_side,blue_side
Gragas,Annie,Sion,Chogath,13.4,,,,
Varus,Xayah,Elise,Maokai,13.4,,,,
Draven,Vi,Akali,Jayce,13.4,,,,
Miss Fortune,Renekton,Lucian,Kalista,13.4,,,,
Samira,Jax,Nami,Nautilus,13.4,,,,
,,,,,SK Gaming,G2 Esports,red_side,blue_side
Gragas,Xayah,Olaf,Gnar,13.4,,,,
Rakan,Vi,Sejuani,Lee Sin,13.4,,,,
