blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
Ivern,Jax,Gwen,KSante,13.13,,,,
Xayah,Vi,Rell,Kindred,13.13,,,,
Tristana,LeBlanc,Jayce,Ahri,13.13,,,,
Rumble,Blitzcrank,Kaisa,Ashe,13.13,,,,
Kennen,KhaZix,Nautilus,Milio,13.13,,,,
,,,,,Golden Guardians,Cloud9,red_side,blue_side
Azir,LeBlanc,Fiora,KSante,13.13,,,,
Rumble,Ziggs,Maokai,Ivern,13.13,,,,
Rell,Poppy,Jayce,Tristana,13.13,,,,
Xayah,Illaoi,Kaisa,Sivir,13.13,,,,
Zeri,Malphite,Blitzcrank,Nautilus,13.13,,,,
,,,,,Dignitas,100 Thieves,blue_side,red_side
Blitzcrank,Milio,Kennen,Renekton,13.13,,,,
Jayce,Kaisa,Sejuani,Ivern,13.13,,,,
Yone,Rumble,Tristana,Sylas,13.13,,,,
Malphite,Varus,Xayah,Aphelios,13.13,,,,
Azir,Nilah,Rakan,Rell,13.13,,,,
,,,,,Cloud9,FlyQuest,blue_side,red_side
Poppy,Rumble,Ornn,Renekton,13.13,,,,
Jayce,Kennen,Lee Sin,Ivern,13.13,,,,
LeBlanc,Rell,Ziggs,Azir,13.13,,,,
Rakan,Sejuani,Tristana,Kaisa,13.13,,,,
Yone,Milio,Nautilus,Alistar,13.13,,,,
,,,,,Team Liquid,Dignitas,blue_side,red_side
Rell,Viego,KSante,Jax,13.13,,,,
Tristana,Kaisa,Sejuani,Vi,13.13,,,,
Rumble,LeBlanc,Azir,Ahri,13.13,,,,
Taliyah,Poppy,Zeri,Xayah,13.13,,,,
Yone,Varus,Rakan,Leona,13.13,,,,
,,,,,100 Thieves,Golden Guardians,red_side,blue_side
LeBlanc,Poppy,KSante,Kennen,13.13,,,,
Renekton,Xayah,Ivern,Sejuani,13.13,,,,
Rumble,Rell,Tristana,Jayce,13.13,,,,
Jinx,Alistar,Kaisa,Zeri,13.13,,,,
Jax,Nautilus,Amumu,Rakan,13.13,,,,
,,,,,Evil Geniuses,TSM,blue_side,red_side
Jayce,Kindred,Rumble,Yone,13.13,,,,
LeBlanc,Neeko,Rell,Sejuani,13.13,,,,
Tristana,Kaisa,Azir,Ahri,13.13,,,,
Xayah,Poppy,Kalista,Ashe,13.13,,,,
Aphelios,Nocturne,Renata Glasc,Rakan,13.13,,,,
,,,,,Immortals,NRG,blue_side,red_side
Ivern,LeBlanc,Jax,KSante,13.13,,,,
Poppy,Rumble,Kindred,Sejuani,13.13,,,,
Tristana,Jayce,Taliyah,Azir,13.13,,,,
Xayah,Yone,Kaisa,Varus,13.13,,,,
Aphelios,Sylas,Rakan,Rell,13.13,,,,
,,,,,Golden Guardians,Dignitas,blue_side,red_side
Poppy,Kennen,Renekton,Jax,13.13,,,,
Jayce,Rumble,Maokai,Viego,13.13,,,,
LeBlanc,Ivern,Tristana,Sylas,13.13,,,,
Ahri,Xayah,Ashe,Kaisa,13.13,,,,
Sejuani,Thresh,Heimerdinger,Rell,13.13,,,,
,,,,,Team Liquid,Evil Geniuses,red_side,blue_side
Ivern,Maokai,Renekton,Ornn,13.13,,,,
Tristana,LeBlanc,Viego,Sejuani,13.13,,,,
Rell,Xayah,Jayce,Azir,13.13,,,,
Nautilus,Poppy,Kaisa,Aphelios,13.13,,,,
Blitzcrank,Rumble,Rakan,Alistar,13.13,,,,
,,,,,100 Thieves,NRG,blue_side,red_side
Renekton,Kaisa,KSante,Poppy,13.13,,,,
Blitzcrank,Kindred,Ivern,Maokai,13.13,,,,
Rakan,Rumble,Tristana,Jayce,13.13,,,,
Malphite,Sylas,Aphelios,Ashe,13.13,,,,
Kennen,Orianna,Rell,Alistar,13.13,,,,
,,,,,Cloud9,TSM,blue_side,red_side
Kindred,Tristana,KSante,Rumble,13.13,,,,
Neeko,Jayce,Ivern,Graves,13.13,,,,
Poppy,LeBlanc,Yone,Twisted Fate,13.13,,,,
Aphelios,Renekton,Kaisa,Xayah,13.13,,,,
Ashe,Azir,Alistar,Rell,13.13,,,,
,,,,,FlyQuest,Immortals,blue_side,red_side
Azir,LeBlanc,KSante,Gwen,13.13,,,,
Rell,Ivern,Sejuani,Maokai,13.13,,,,
Rumble,Poppy,Ziggs,Jayce,13.13,,,,
Rakan,Tristana,Kaisa,Xayah,13.13,,,,
Alistar,Renekton,Nautilus,Renata Glasc,13.13,,,,
,,,,,Dignitas,100 Thieves,blue_side,red_side
Kindred,Ivern,KSante,Gwen,13.13,,,,
Maokai,Sejuani,Amumu,Poppy,13.13,,,,
Milio,Rumble,LeBlanc,Jayce,13.13,,,,
Tristana,Viego,Xayah,Kaisa,13.13,,,,
Azir,Renekton,Rakan,Rell,13.13,,,,
,,,,,NRG,Cloud9,blue_side,red_side
Renekton,Ivern,Rumble,KSante,13.13,,,,
LeBlanc,Rell,Amumu,Nocturne,13.13,,,,
Poppy,Azir,Jayce,Neeko,13.13,,,,
Rakan,Alistar,Kaisa,Tristana,13.13,,,,
Braum,Sejuani,Nautilus,Maokai,13.13,,,,
,,,,,FlyQuest,TSM,blue_side,red_side
Ziggs,LeBlanc,Jax,Rumble,13.13,,,,
Poppy,Jayce,Viego,Vi,13.13,,,,
Kaisa,Tristana,Azir,Viktor,13.13,,,,
Lee Sin,Milio,Ashe,Aphelios,13.13,,,,
Kindred,Renekton,Rell,Thresh,13.13,,,,
,,,,,Golden Guardians,Team Liquid,blue_side,red_side
Jayce,Neeko,KSante,Gwen,13.13,,,,
LeBlanc,Ivern,Nocturne,Poppy,13.13,,,,
Tristana,Kindred,Veigar,Ahri,13.13,,,,
Sylas,Twisted Fate,Kaisa,Xayah,13.13,,,,
Renekton,Rumble,Alistar,Rell,13.13,,,,
,,,,,Immortals,Evil Geniuses,red_side,blue_side
Neeko,LeBlanc,Illaoi,KSante,13.13,,,,
Kindred,Jayce,Vi,Poppy,13.13,,,,
Xayah,Tristana,Ahri,Veigar,13.13,,,,
Azir,Jax,Kaisa,Aphelios,13.13,,,,
Annie,Renekton,Nautilus,Rell,13.13,,,,
,,,,,Dignitas,Immortals,red_side,blue_side
Ivern,Rumble,Jax,Gangplank,13.13,,,,
Sejuani,LeBlanc,Nautilus,Poppy,13.13,,,,
Rell,Jayce,Yone,Azir,13.13,,,,
Rakan,Nocturne,Kaisa,Xayah,13.13,,,,
