blue_bans,red_bans,blue_picks,red_picks,patch,Blue Side Roster,Red Side Roster,blue_side,red_side,winner,loser
Seraphine,Camille,Kaisa,Varus,12.18,Shogun,UNF0RGIVEN,,,,
Kalista,Nautilus,Shen,Tahm Kench,12.18,Taki,Kaiser,,,,
,,,,,,,Saigon Buffalo,MAD Lions,red_side,blue_side
Draven,Aphelios,Fiora,Ornn,12.18,Hasmed,Armut,,,,
Sylas,Caitlyn,Pantheon,Belveth,12.18,BeanJ,Elyoya,,,,
Gnar,Aatrox,Taliyah,Vex,12.18,Froggy,Nisqy,,,,
Tahm Kench,Gwen,Kalista,Varus,12.18,Shogun,UNF0RGIVEN,,,,
Braum,Renata Glasc,Sett,Alistar,12.18,Taki,Kaiser,,,,
,,,,,,,Saigon Buffalo,MAD Lions,red_side,blue_side
Akali,Yuumi,Sejuani,Mordekaiser,12.18,,,,,,
Kalista,Aatrox,Viego,Trundle,12.18,,,,,,
Sylas,Maokai,Taliyah,Azir,12.18,,,,,,
Ornn,Amumu,Miss Fortune,Kaisa,12.18,,,,,,
Ezreal,Jax,Nautilus,Leona,12.18,,,,,,
,,,,,,,LOUD,Evil Geniuses,red_side,blue_side
Yuumi,Sylas,Aatrox,Gnar,12.18,,,,,,
Amumu,Kalista,Trundle,Hecarim,12.18,,,,,,
Maokai,Azir,Akali,Vex,12.18,,,,,,
Ahri,Lee Sin,Aphelios,Kaisa,12.18,,,,,,
LeBlanc,Taliyah,Thresh,Sett,12.18,,,,,,
,,,,,,,Evil Geniuses,Detonation FocusMe,blue_side,red_side
Pantheon,Aatrox,Fiora,Lillia,12.18,,,,,,
Kalista,Caitlyn,Vi,Lee Sin,12.18,,,,,,
Poppy,Graves,Sylas,Zac,12.18,,,,,,
Kennen,Kaisa,Tristana,Aphelios,12.18,,,,,,
Renata Glasc,Xayah,Shen,Leona,12.18,,,,,,
,,,,,,,Royal Never Give Up,Saigon Buffalo,blue_side,red_side
Draven,Caitlyn,Camille,Mordekaiser,12.18,,,,,,
Hecarim,Aatrox,Sejuani,Belveth,12.18,,,,,,
Taliyah,Akali,Sylas,Vex,12.18,,,,,,
Renekton,Maokai,Sivir,Miss Fortune,12.18,,,,,,
Gwen,Poppy,Yuumi,Leona,12.18,,,,,,
,,,,,,,DRX,MAD Lions,blue_side,red_side
LeBlanc,Kalista,Gnar,Aatrox,12.18,,,,,,
Graves,Azir,Maokai,Wukong,12.18,,,,,,
Hecarim,Sejuani,Viktor,Sylas,12.18,,,,,,
Trundle,Samira,Nilah,Kaisa,12.18,,,,,,
Nautilus,Miss Fortune,Yuumi,Rell,12.18,,,,,,
,,,,,,,Istanbul Wildcats,Isurus,red_side,blue_side
Akali,Taliyah,Gnar,Aatrox,12.18,,,,,,
Sylas,Azir,Maokai,Sejuani,12.18,,,,,,
Kalista,Kaisa,Ahri,LeBlanc,12.18,,,,,,
Alistar,Amumu,Sivir,Miss Fortune,12.18,,,,,,
Caitlyn,Rell,Yuumi,Soraka,12.18,,,,,,
,,,,,,,Detonation FocusMe,Evil Geniuses,blue_side,red_side
Draven,Maokai,Aatrox,Camille,12.18,,,,,,
Graves,Miss Fortune,Viego,Hecarim,12.18,,,,,,
Seraphine,LeBlanc,Sylas,Galio,12.18,,,,,,
Rakan,Sejuani,Kalista,Ashe,12.18,,,,,,
Aphelios,Taric,Amumu,Braum,12.18,,,,,,
,,,,,,,LOUD,Chief Esports Club,blue_side,red_side
Viktor,Hecarim,Jax,Gragas,12.18,,,,,,
LeBlanc,Aatrox,Sejuani,Graves,12.18,,,,,,
Kalista,Amumu,Sylas,Akali,12.18,,,,,,
Caitlyn,Gnar,Kaisa,Aphelios,12.18,,,,,,
Miss Fortune,Fiora,Nautilus,Maokai,12.18,,,,,,
,,,,,,,Beyond Gaming,Fnatic,red_side,blue_side
Akali,Ornn,Maokai,Sylas,12.18,,,,,,
Caitlyn,Graves,Viego,Sejuani,12.18,,,,,,
Aatrox,LeBlanc,Azir,Yone,12.18,,,,,,
Mordekaiser,Thresh,Aphelios,Miss Fortune,12.18,,,,,,
Gwen,Tahm Kench,Alistar,Amumu,12.18,,,,,,
,,,,,,,Isurus,DRX,red_side,blue_side
Kalista,Graves,Aatrox,Garen,12.18,,,,,,
Azir,Fiora,Sejuani,Maokai,12.18,,,,,,
Renekton,Kaisa,Sylas,Akali,12.18,,,,,,
Nautilus,Vi,Tristana,Samira,12.18,,,,,,
Rell,Poppy,Amumu,Sett,12.18,,,,,,
