blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
Malphite,Gragas,Rakan,Leona,13.11,,,,
,,,,,MAD Lions,Excel Esports,red_side,blue_side
Draven,Vi,Renekton,KSante,13.11,,,,
Azir,Maokai,Sejuani,Viego,13.11,,,,
LeBlanc,Zeri,Syndra,Neeko,13.11,,,,
Wukong,Xayah,Jinx,Aphelios,13.11,,,,
Nocturne,KogMaw,Milio,Yuumi,13.11,,,,
,,,,,Team BDS,Team Heretics,red_side,blue_side
Zeri,Gragas,Jayce,KSante,13.11,,,,
LeBlanc,Vi,Sejuani,Maokai,13.11,,,,
Malphite,Lucian,Neeko,Orianna,13.11,,,,
Ahri,Nocturne,Aphelios,Xayah,13.11,,,,
Syndra,Wukong,Yuumi,Milio,13.11,,,,
,,,,,MAD Lions,Fnatic,red_side,blue_side
Vi,LeBlanc,KSante,Gwen,13.11,,,,
Yuumi,Milio,Maokai,Sejuani,13.11,,,,
Rakan,Neeko,Syndra,Azir,13.11,,,,
Malphite,Jayce,KogMaw,Aphelios,13.11,,,,
Renekton,Tristana,Braum,Lulu,13.11,,,,
,,,,,G2 Esports,SK Gaming,blue_side,red_side
Xayah,Vi,KSante,Gwen,13.11,,,,
Yuumi,Milio,Maokai,Sejuani,13.11,,,,
Neeko,Poppy,Cassiopeia,Tristana,13.11,,,,
Renekton,Jayce,Aphelios,Zeri,13.11,,,,
Azir,Syndra,Nautilus,Lulu,13.11,,,,
,,,,,Team Heretics,KOI,red_side,blue_side
LeBlanc,Sejuani,Gragas,KSante,13.11,,,,
Yuumi,Vi,Viego,Nocturne,13.11,,,,
Milio,Maokai,Yasuo,Neeko,13.11,,,,
Poppy,Renekton,Xayah,Zeri,13.11,,,,
Wukong,Irelia,Rakan,Lulu,13.11,,,,
,,,,,Astralis,Team Vitality,blue_side,red_side
Vi,Neeko,Sion,KSante,13.11,,,,
Zeri,Draven,Maokai,Sejuani,13.11,,,,
Yuumi,Milio,Azir,Cassiopeia,13.11,,,,
Olaf,Rakan,Xayah,Aphelios,13.11,,,,
Darius,Gnar,Nautilus,Lulu,13.11,,,,
,,,,,Excel Esports,Team BDS,blue_side,red_side
Milio,Sejuani,Sion,Poppy,13.11,,,,
LeBlanc,Neeko,Vi,Wukong,13.11,,,,
Yuumi,Lucian,Akali,Gragas,13.11,,,,
KSante,Renekton,Kaisa,Xayah,13.11,,,,
Annie,Gwen,Nautilus,Rakan,13.11,,,,
,,,,,Astralis,MAD Lions,red_side,blue_side
Draven,Yuumi,Gragas,Sion,13.11,,,,
Maokai,Vi,Poppy,Trundle,13.11,,,,
Neeko,Milio,Orianna,Azir,13.11,,,,
Syndra,LeBlanc,Xayah,Aphelios,13.11,,,,
KSante,Annie,Rakan,Lulu,13.11,,,,
,,,,,Team Vitality,G2 Esports,red_side,blue_side
Aphelios,Jarvan IV,Gragas,Poppy,13.11,,,,
LeBlanc,Neeko,Vi,Wukong,13.11,,,,
Milio,Yuumi,Viktor,Syndra,13.11,,,,
Orianna,Azir,Zeri,Xayah,13.11,,,,
KSante,Annie,Lulu,Rakan,13.11,,,,
,,,,,KOI,Fnatic,red_side,blue_side
Vi,Rakan,KSante,Renekton,13.11,,,,
LeBlanc,Neeko,Maokai,Sejuani,13.11,,,,
Yuumi,Milio,Azir,Taliyah,13.11,,,,
Sylas,Aphelios,Xayah,Draven,13.11,,,,
Kaisa,Braum,Nautilus,Leona,13.11,,,,
,,,,,Excel Esports,Team Heretics,blue_side,red_side
Maokai,Neeko,Renekton,KSante,13.11,,,,
Yuumi,Milio,Wukong,Sejuani,13.11,,,,
Poppy,Vi,LeBlanc,Syndra,13.11,,,,
Tristana,Rakan,Aphelios,Zeri,13.11,,,,
Olaf,Lucian,Nautilus,Lulu,13.11,,,,
,,,,,SK Gaming,Team BDS,red_side,blue_side
Xayah,Draven,Sion,Gwen,13.11,,,,
Neeko,Vi,Maokai,Wukong,13.11,,,,
Yuumi,Lucian,Kaisa,LeBlanc,13.11,,,,
Rakan,KSante,Zeri,Aphelios,13.11,,,,
Lulu,Renekton,Milio,Nautilus,13.11,,,,
,,,,,Team Heretics,Team Vitality,blue_side,red_side
Vi,Draven,KSante,Malphite,13.11,,,,
Yuumi,LeBlanc,Maokai,Viego,13.11,,,,
Blitzcrank,Kalista,Ahri,Neeko,13.11,,,,
Kindred,Jayce,Aphelios,Lucian,13.11,,,,
Nocturne,Syndra,Milio,Nami,13.11,,,,
,,,,,G2 Esports,Fnatic,blue_side,red_side
Zeri,Vi,Gragas,KSante,13.11,,,,
LeBlanc,Yuumi,Wukong,Nocturne,13.11,,,,
Neeko,Milio,Annie,Ahri,13.11,,,,
Nautilus,Jayce,Aphelios,Xayah,13.11,,,,
Jarvan IV,Renekton,Rakan,Leona,13.11,,,,
,,,,,MAD Lions,KOI,blue_side,red_side
Irelia,Vi,Renekton,Rumble,13.11,,,,
Lucian,LeBlanc,Gragas,Sejuani,13.11,,,,
Maokai,Zeri,Neeko,Yasuo,13.11,,,,
Rakan,Poppy,Aphelios,Xayah,13.11,,,,
Kennen,Wukong,Milio,Blitzcrank,13.11,,,,
,,,,,Team BDS,Astralis,red_side,blue_side
Vi,Neeko,KSante,Gnar,13.11,,,,
LeBlanc,Zeri,Viego,Wukong,13.11,,,,
Maokai,Draven,Annie,Lissandra,13.11,,,,
Malphite,Poppy,Aphelios,Jinx,13.11,,,,
Ahri,KhaZix,Yuumi,Milio,13.11,,,,
,,,,,Excel Esports,SK Gaming,red_side,blue_side
LeBlanc,Vi,Sion,Renekton,13.11,,,,
Zeri,Xayah,Jarvan IV,Maokai,13.11,,,,
Milio,Sejuani,Neeko,Ahri,13.11,,,,
KSante,Viego,Lucian,Draven,13.11,,,,
Jayce,Irelia,Nami,Nautilus,13.11,,,,
,,,,,Astralis,Team Heretics,red_side,blue_side
LeBlanc,Maokai,Olaf,KSante,13.11,,,,
Lucian,Vi,Gragas,Wukong,13.11,,,,
Jayce,Yuumi,Neeko,Annie,13.11,,,,
Gnar,Nocturne,Zeri,Aphelios,13.11,,,,
Kennen,Renekton,Lulu,Milio,13.11,,,,
,,,,,Team BDS,KOI,blue_side,red_side
Draven,Vi,KSante,Poppy,13.11,,,,
Maokai,Yuumi,Wukong,Nocturne,13.11,,,,
LeBlanc,Aphelios,Ahri,Neeko,13.11,,,,
Olaf,Gragas,Xayah,Lucian,13.11,,,,
Sejuani,Annie,Milio,Nami,13.11,,,,
,,,,,MAD Lions,G2 Esports,blue_side,red_side
Draven,Vi,KSante,Renekton,13.11,,,,
Poppy,LeBlanc,Kindred,Sejuani,13.11,,,,
Neeko,Milio,Annie,Ahri,13.11,,,,
Wukong,Maokai,Aphelios,Zeri,13.11,,,,
Malphite,Viego,Yuumi,Rakan,13.11,,,,
,,,,,Fnatic,Excel Esports,blue_side,red_side
Vi,Zeri,Renekton,Ornn,13.11,,,,
Milio,Lucian,Sejuani,Maokai,13.11,,,,
Yuumi,Neeko,LeBlanc,Annie,13.11,,,,
Sion,Nocturne,Xayah,Jinx,13.11,,,,
Wukong,KSante,Nautilus,Rakan,13.11,,,,
,,,,,Team Vitality,SK Gaming,blue_side,red_side
Irelia,Zeri,KSante,Renekton,13.11,,,,
Maokai,Vi,Viego,Wukong,13.11,,,,
Milio,Poppy,LeBlanc,Annie,13.11,,,,
Neeko,Yuumi,Aphelios,Xayah,13.11,,,,
Malphite,Lulu,Thresh,Rakan,13.11,,,,
,,,,,Fnatic,Astralis,blue_side,red_side
Vi,Draven,Renekton,Malphite,13.11,,,,
Yuumi,Neeko,Maokai,Viego,13.11,,,,
KSante,Milio,Jayce,Annie,13.11,,,,
KhaZix,Gragas,Lucian,Xayah,13.11,,,,
Sion,Poppy,Nami,Rakan,13.11,,,,
,,,,,G2 Esports,Team BDS,blue_side,red_side
Maokai,Vi,Gragas,Gnar,13.11,,,,
Zeri,Milio,Jarvan IV,Wukong,13.11,,,,
Neeko,Aphelios,Ahri,Annie,13.11,,,,
KSante,Poppy,Xayah,Draven,13.11,,,,
Jinx,Sejuani,Yuumi,Rakan,13.11,,,,
,,,,,KOI,Excel Esports,blue_side,red_side
KSante,Neeko,Gragas,Sion,13.11,,,,
Maokai,Vi,KhaZix,Wukong,13.11,,,,
Draven,Annie,Ahri,Azir,13.11,,,,
Poppy,Nocturne,Zeri,Lucian,13.11,,,,
Sejuani,Viego,Yuumi,Milio,13.11,,,,
,,,,,SK Gaming,Team Heretics,red_side,blue_side
Vi,Zeri,Gwen,KSante,13.11,,,,
Rakan,Neeko,Kindred,Gragas,13.11,,,,
Annie,LeBlanc,Ahri,Azir,13.11,,,,
Maokai,Renekton,Lucian,Aphelios,13.11,,,,
Poppy,Wukong,Milio,Yuumi,13.11,,,,
,,,,,Team Vitality,MAD Lions,red_side,blue_side
