blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
Olaf,Seraphine,Renekton,Sion,11.5,,,,
Lucian,Hecarim,Nocturne,Lillia,11.5,,,,
Nautilus,Udyr,Syndra,Orianna,11.5,,,,
Gnar,Nidalee,Draven,Tristana,11.5,,,,
Gragas,Kayn,Thresh,Rell,11.5,,,,
,,,,,Immortals,Cloud9,red_side,blue_side
Tristana,Kaisa,Gnar,Irelia,11.5,,,,
Lucian,Orianna,Hecarim,Nidalee,11.5,,,,
Olaf,Lillia,Ryze,Renekton,11.5,,,,
Kalista,Xayah,Jhin,Samira,11.5,,,,
Syndra,Azir,Rell,Nautilus,11.5,,,,
,,,,,Evil Geniuses,CLG,blue_side,red_side
Seraphine,Kaisa,Gnar,Gangplank,11.5,,,,
Rell,Renekton,Olaf,Udyr,11.5,,,,
Thresh,Senna,Syndra,Azir,11.5,,,,
Camille,Gragas,Tristana,Xayah,11.5,,,,
Orianna,Twisted Fate,Leona,Alistar,11.5,,,,
,,,,,100 Thieves,Team Liquid,red_side,blue_side
Rell,Seraphine,Camille,Gragas,11.5,,,,
Renekton,Lucian,Udyr,Olaf,11.5,,,,
Hecarim,Twisted Fate,Orianna,Azir,11.5,,,,
Gnar,Gangplank,Xayah,Tristana,11.5,,,,
Alistar,Rakan,Thresh,Nautilus,11.5,,,,
,,,,,Golden Guardians,TSM,red_side,blue_side
Kalista,Seraphine,Shen,Mordekaiser,11.5,,,,
Gnar,Udyr,Hecarim,Graves,11.5,,,,
Renekton,Lillia,Twisted Fate,Syndra,11.5,,,,
Kaisa,Orianna,Tristana,Xayah,11.5,,,,
Gangplank,Sylas,Rell,Alistar,11.5,,,,
,,,,,FlyQuest,Dignitas,red_side,blue_side
Thresh,Rell,Sion,Kled,11.5,,,,
Gangplank,Lucian,Lillia,Hecarim,11.5,,,,
Seraphine,Renekton,Viktor,Syndra,11.5,,,,
Galio,Gnar,Tristana,Xayah,11.5,,,,
Aatrox,Gragas,Leona,Alistar,11.5,,,,
,,,,,CLG,Golden Guardians,red_side,blue_side
Thresh,Kaisa,Renekton,Gnar,11.5,,,,
Rell,Alistar,Hecarim,Olaf,11.5,,,,
Udyr,Lillia,Neeko,Ahri,11.5,,,,
Orianna,Ryze,Xayah,Tristana,11.5,,,,
Azir,Rakan,Galio,Leona,11.5,,,,
,,,,,Evil Geniuses,Team Liquid,red_side,blue_side
Olaf,Seraphine,Gnar,Camille,11.5,,,,
Renekton,Thresh,Hecarim,Udyr,11.5,,,,
Tristana,Rell,Twisted Fate,Sylas,11.5,,,,
Jayce,Tahm Kench,Xayah,Kaisa,11.5,,,,
Gangplank,Vayne,Rakan,Leona,11.5,,,,
,,,,,FlyQuest,100 Thieves,red_side,blue_side
Lillia,Kalista,Sion,Renekton,11.5,,,,
Olaf,Seraphine,Udyr,Nidalee,11.5,,,,
Gnar,Hecarim,Syndra,Orianna,11.5,,,,
Lucian,Alistar,Kaisa,Tristana,11.5,,,,
Senna,Nautilus,Gragas,Rell,11.5,,,,
,,,,,Dignitas,Cloud9,red_side,blue_side
Seraphine,Hecarim,Renekton,Sion,11.5,,,,
Tristana,Olaf,Lillia,Kayn,11.5,,,,
Lucian,Udyr,Azir,Orianna,11.5,,,,
Gnar,Thresh,Kalista,Kaisa,11.5,,,,
Rell,Xayah,Alistar,Nautilus,11.5,,,,
,,,,,TSM,Immortals,blue_side,red_side
