blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
Tristana,Lillia,Gnar,Nocturne,11.5,,,,
Rell,Twisted Fate,Graves,Gragas,11.5,,,,
Caitlyn,Hecarim,Orianna,Lucian,11.5,,,,
Nidalee,Olaf,Chogath,Aphelios,11.5,,,,
Taliyah,Udyr,Senna,Thresh,11.5,,,,
,,,,,Rogue,Fnatic,blue_side,red_side
Thresh,Twisted Fate,Dr. Mundo,Sion,11.5,,,,
Kalista,Senna,Lillia,Hecarim,11.5,,,,
Alistar,Jhin,Yone,LeBlanc,11.5,,,,
Syndra,Gragas,Xayah,Kaisa,11.5,,,,
Aatrox,Gnar,Rell,Leona,11.5,,,,
,,,,,G2 Esports,SK Gaming,blue_side,red_side
Lucian,Udyr,Gragas,Nocturne,11.5,,,,
Twisted Fate,Hecarim,Skarner,Malphite,11.5,,,,
Rell,Lillia,Sylas,Qiyana,11.5,,,,
Olaf,Renekton,Tristana,Aphelios,11.5,,,,
Graves,Sion,Nautilus,Thresh,11.5,,,,
,,,,,Astralis,MAD Lions,blue_side,red_side
Twisted Fate,Orianna,Sion,Gangplank,11.5,,,,
Seraphine,Lillia,Dr. Mundo,Karthus,11.5,,,,
Hecarim,Caitlyn,Syndra,Nocturne,11.5,,,,
Aatrox,Sylas,Aphelios,Jhin,11.5,,,,
Ryze,Udyr,Thresh,Alistar,11.5,,,,
,,,,,Excel Esports,FC Schalke 04,red_side,blue_side
Ryze,Twisted Fate,Gnar,Sion,11.5,,,,
Sylas,Thresh,Skarner,Hecarim,11.5,,,,
Jayce,Orianna,LeBlanc,Zoe,11.5,,,,
Tristana,Udyr,Xayah,Kaisa,11.5,,,,
Gangplank,Seraphine,Alistar,Rell,11.5,,,,
,,,,,Team Vitality,Misfits Gaming,blue_side,red_side
Tristana,Seraphine,Gragas,Sion,11.5,,,,
Rell,Thresh,Lillia,RekSai,11.5,,,,
Twisted Fate,Hecarim,Lucian,Syndra,11.5,,,,
Udyr,Aatrox,Xayah,Kaisa,11.5,,,,
Alistar,Gnar,Rakan,Veigar,11.5,,,,
,,,,,MAD Lions,G2 Esports,blue_side,red_side
Lillia,Twisted Fate,Renekton,Gnar,11.5,,,,
Xayah,Thresh,Udyr,Hecarim,11.5,,,,
Caitlyn,Graves,Seraphine,Ryze,11.5,,,,
Orianna,Sion,Kaisa,Tristana,11.5,,,,
Zoe,No ban,Rell,Alistar,11.5,,,,
,,,,,Fnatic,Misfits Gaming,red_side,blue_side
Twisted Fate,Hecarim,Sion,Gnar,11.5,,,,
