blue_bans,red_bans,blue_picks,red_picks,patch,Blue Side Roster,Red Side Roster,blue_side,red_side,winner,loser
No ban,No ban,Wukong,Ornn,10.10,Khan,369,,,,
No ban,No ban,Graves,Lee Sin,10.10,Tian,Karsa,,,,
No ban,No ban,Galio,Syndra,10.10,Doinb,Knight,,,,
No ban,No ban,Varus,Varus,10.10,Lwx,JackeyLove,,,,
No ban,No ban,Thresh,Thresh,10.10,Crisp,yuyanjia,,,,
,,,,,,,Funplus Phoenix,Top Esports,red_side,blue_side
Trundle,Varus,Kayle,Ornn,10.10,Khan,369,,,,
Syndra,Karma,Olaf,Graves,10.10,Tian,Karsa,,,,
Ezreal,Rumble,Galio,Corki,10.10,Doinb,Knight,,,,
Jarvan IV,Sett,Aphelios,Miss Fortune,10.10,Lwx,JackeyLove,,,,
Lee Sin,Twisted Fate,Nautilus,Thresh,10.10,Crisp,yuyanjia,,,,
,,,,,,,Funplus Phoenix,Top Esports,blue_side,red_side
Karma,Varus,Renekton,Mordekaiser,10.10,369,Khan,,,,
Rumble,Trundle,Lee Sin,Olaf,10.10,Karsa,Tian,,,,
Galio,Syndra,Orianna,Ryze,10.10,Knight,Doinb,,,,
Twisted Fate,Zoe,Ezreal,Aphelios,10.10,JackeyLove,Lwx,,,,
Ornn,LeBlanc,Yuumi,Thresh,10.10,yuyanjia,Crisp,,,,
,,,,,,,Top Esports,Funplus Phoenix,blue_side,red_side
Syndra,Varus,Jayce,Lucian,10.10,Khan,369,,,,
Ezreal,Karma,Nidalee,Trundle,10.10,Tian,Karsa,,,,
Lee Sin,Rumble,Renekton,Zoe,10.10,Doinb,Knight,,,,
Ornn,Nautilus,Aphelios,Kalista,10.10,Lwx,JackeyLove,,,,
Wukong,Leona,Blitzcrank,Thresh,10.10,Crisp,yuyanjia,,,,
,,,,,,,Funplus Phoenix,Top Esports,red_side,blue_side
No ban,No ban,Sett,Wukong,10.10,Rascal,369,,,,
No ban,No ban,Elise,Trundle,10.10,Clid,Karsa,,,,
No ban,No ban,Pantheon,Ekko,10.10,Bdd,Knight,,,,
No ban,No ban,Kaisa,Varus,10.10,Ruler,JackeyLove,,,,
No ban,No ban,Nautilus,Thresh,10.10,Life,yuyanjia,,,,
,,,,,,,Gen.G eSports,Top Esports,red_side,blue_side
LeBlanc,Sett,Kennen,Jayce,10.10,Rascal,369,,,,
Trundle,Varus,Graves,RekSai,10.10,Clid,Karsa,,,,
Syndra,Kalista,Azir,Zoe,10.10,Bdd,Knight,,,,
Wukong,Yuumi,Ezreal,Aphelios,10.10,Ruler,JackeyLove,,,,
Lee Sin,Ornn,Taric,Thresh,10.10,Kellin,yuyanjia,,,,
,,,,,,,Gen.G eSports,Top Esports,red_side,blue_side
Sett,Varus,Gangplank,Lucian,10.10,369,Rascal,,,,
Kalista,Ezreal,Trundle,Kindred,10.10,Karsa,Clid,,,,
Zoe,Aphelios,Syndra,Azir,10.10,Knight,Bdd,,,,
Nautilus,Wukong,Miss Fortune,Mordekaiser,10.10,JackeyLove,Life,,,,
Maokai,Thresh,Yuumi,Senna,10.10,yuyanjia,Ruler,,,,
,,,,,,,Top Esports,Gen.G eSports,blue_side,red_side
No ban,No ban,Ornn,Renekton,10.10,Khan,Zoom,,,,
No ban,No ban,Graves,Nidalee,10.10,Tian,Kanavi,,,,
No ban,No ban,Kassadin,Corki,10.10,Doinb,Yagao,,,,
No ban,No ban,Varus,Varus,10.10,Lwx,LokeN,,,,
No ban,No ban,Tahm Kench,Thresh,10.10,Crisp,LvMao,,,,
,,,,,,,Funplus Phoenix,JD Gaming,red_side,blue_side
Ornn,Galio,Hecarim,Wukong,10.10,Khan,Zoom,,,,
Nidalee,Rumble,Olaf,Graves,10.10,Tian,Kanavi,,,,
Kindred,Senna,Karma,Corki,10.10,Doinb,Yagao,,,,
Mordekaiser,Twisted Fate,Varus,Sivir,10.10,Lwx,LokeN,,,,
LeBlanc,Lissandra,Leona,Sett,10.10,Crisp,LvMao,,,,
,,,,,,,Funplus Phoenix,JD Gaming,blue_side,red_side
Galio,Varus,Gangplank,Ornn,10.10,Zoom,Khan,,,,
Rumble,Nidalee,Lee Sin,RekSai,10.10,Kanavi,Tian,,,,
Senna,Graves,Syndra,Karma,10.10,Yagao,Doinb,,,,
Olaf,Trundle,Ezreal,Aphelios,10.10,LokeN,Lwx,,,,
Kindred,Mordekaiser,Leona,Thresh,10.10,LvMao,Crisp,,,,
,,,,,,,JD Gaming,Funplus Phoenix,red_side,blue_side
Karma,Varus,Wukong,Hecarim,10.10,Zoom,Khan,,,,
Galio,Nidalee,Ekko,Trundle,10.10,Kanavi,Tian,,,,
Senna,Graves,LeBlanc,Lissandra,10.10,Yagao,Doinb,,,,
Lee Sin,Olaf,Ezreal,Aphelios,10.10,LokeN,Lwx,,,,
RekSai,Kindred,Leona,Thresh,10.10,LvMao,Crisp,,,,
,,,,,,,JD Gaming,Funplus Phoenix,red_side,blue_side
LeBlanc,Varus,Akali,Mordekaiser,10.10,,,,,,
Aphelios,Zoe,Trundle,Lee Sin,10.10,,,,,,
Nidalee,Graves,Sett,Syndra,10.10,,,,,,
Sylas,Olaf,Kalista,Ezreal,10.10,,,,,,
Kindred,Elise,Nautilus,Leona,10.10,,,,,,
,,,,,,,DragonX,JD Gaming,red_side,blue_side
Karma,Varus,Ornn,Gangplank,10.10,,,,,,
Sett,Graves,Nocturne,Sejuani,10.10,,,,,,
Senna,Azir,Syndra,Zoe,10.10,,,,,,
