blue_bans,red_bans,blue_picks,red_picks,patch,Blue Side Roster,Red Side Roster,blue_side,red_side,winner,loser
,,,,,,,PSG Talon,Royal Never Give Up,red_side,blue_side
Renekton,Varus,Jayce,Irelia,11.9,,,,,,
Udyr,Lee Sin,Rumble,Morgana,11.9,,,,,,
Thresh,Senna,Lucian,Kalista,11.9,,,,,,
Malphite,Wukong,Xayah,Kaisa,11.9,,,,,,
Nautilus,Leona,Rakan,Alistar,11.9,,,,,,
,,,,,,,MAD Lions,Cloud9,red_side,blue_side
Thresh,Renekton,Lee Sin,Gnar,11.9,,,,,,
Varus,Leona,Morgana,Udyr,11.9,,,,,,
Urgot,Senna,Zoe,Viktor,11.9,,,,,,
Qiyana,Jayce,Kaisa,Lucian,11.9,,,,,,
Sett,Sylas,Nautilus,Braum,11.9,,,,,,
,,,,,,,DWG KIA,Pentanet.GG,blue_side,red_side
Lucian,Thresh,Nocturne,Aatrox,11.9,,,,,,
Lee Sin,Varus,Rumble,Udyr,11.9,,,,,,
Senna,Renekton,Qiyana,Sylas,11.9,,,,,,
Zoe,Rell,Kaisa,Tristana,11.9,,,,,,
LeBlanc,Nautilus,Galio,Leona,11.9,,,,,,
,,,,,,,PSG Talon,Cloud9,blue_side,red_side
Zoe,Lee Sin,Gnar,Wukong,11.9,,,,,,
Thresh,Renekton,Morgana,Rumble,11.9,,,,,,
Senna,Udyr,Viktor,Lucian,11.9,,,,,,
Jayce,Tahm Kench,Varus,Kaisa,11.9,,,,,,
Nautilus,Twisted Fate,Alistar,Leona,11.9,,,,,,
,,,,,,,Royal Never Give Up,MAD Lions,red_side,blue_side
Varus,Senna,Gnar,Gangplank,11.9,,,,,,
Thresh,Lee Sin,Udyr,Rumble,11.9,,,,,,
Morgana,Urgot,Viktor,Renekton,11.9,,,,,,
Sylas,Rakan,Xayah,Kaisa,11.9,,,,,,
Jayce,Alistar,Braum,Leona,11.9,,,,,,
,,,,,,,Pentanet.GG,PSG Talon,red_side,blue_side
Senna,Thresh,Gnar,Sion,11.9,,,,,,
Zoe,Varus,Morgana,Udyr,11.9,,,,,,
Sett,Lee Sin,Renekton,Viktor,11.9,,,,,,
Lucian,Leona,Tristana,Kaisa,11.9,,,,,,
Gangplank,Twisted Fate,Rell,Nautilus,11.9,,,,,,
,,,,,,,Royal Never Give Up,DWG KIA,blue_side,red_side
Lucian,Gnar,Sett,Sion,11.9,,,,,,
Lee Sin,Thresh,Udyr,Lillia,11.9,,,,,,
Varus,Renekton,Viktor,Tristana,11.9,,,,,,
Jayce,Urgot,Tahm Kench,Kaisa,11.9,,,,,,
Yone,Syndra,Senna,Nautilus,11.9,,,,,,
,,,,,,,Pentanet.GG,Cloud9,blue_side,red_side
Thresh,Senna,Gnar,Lee Sin,11.9,,,,,,
Varus,Lucian,Rumble,Morgana,11.9,,,,,,
Udyr,Renekton,Zoe,Sylas,11.9,,,,,,
Leona,Sett,Kaisa,Xayah,11.9,,,,,,
Twisted Fate,Jayce,Nautilus,Rakan,11.9,,,,,,
,,,,,,,DWG KIA,PSG Talon,blue_side,red_side
Lucian,Renekton,Sion,Jayce,11.9,,,,,,
