blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
Vi,Kalista,Aatrox,Gnar,14.5,,,,
Taliyah,Senna,Lillia,Rell,14.5,,,,
Tristana,Varus,Hwei,Orianna,14.5,,,,
Jayce,Sejuani,Smolder,Jinx,14.5,,,,
Nocturne,Jarvan IV,Nautilus,Tahm Kench,14.5,,,,
,,,,,NRG,Dignitas,red_side,blue_side
Taliyah,Orianna,Udyr,Twisted Fate,14.5,,,,
Smolder,Kalista,Graves,Viego,14.5,,,,
Vi,Ashe,Hwei,Ahri,14.5,,,,
Gnar,Renekton,Senna,Varus,14.5,,,,
Darius,Olaf,Tahm Kench,Nautilus,14.5,,,,
,,,,,FlyQuest,Dignitas,blue_side,red_side
Smolder,Nidalee,Renekton,Udyr,14.5,,,,
Varus,Kalista,Kindred,Ivern,14.5,,,,
Taliyah,Senna,Neeko,Tristana,14.5,,,,
Aatrox,Ahri,Lucian,Kaisa,14.5,,,,
Hwei,Sejuani,Nami,Nautilus,14.5,,,,
,,,,,Cloud9,Shopify Rebellion,blue_side,red_side
Jayce,Kalista,Renekton,Olaf,14.5,,,,
Taliyah,Senna,Ivern,Shaco,14.5,,,,
Vi,Lucian,Corki,Veigar,14.5,,,,
Karma,Orianna,Varus,Smolder,14.5,,,,
Ahri,Hwei,Nautilus,Alistar,14.5,,,,
,,,,,NRG,100 Thieves,red_side,blue_side
Aurelion Sol,Jayce,Gragas,Renekton,14.5,,,,
Nautilus,Kalista,Vi,Volibear,14.5,,,,
Varus,Ivern,Ahri,Ziggs,14.5,,,,
Poppy,Rell,Kaisa,Smolder,14.5,,,,
Sejuani,Aatrox,Rakan,Tahm Kench,14.5,,,,
,,,,,Immortals,Team Liquid,red_side,blue_side
Smolder,Ivern,Renekton,Jayce,14.5,,,,
Vi,Senna,Volibear,Taliyah,14.5,,,,
Kalista,Varus,Karma,Yone,14.5,,,,
Xayah,Wukong,Kaisa,Tristana,14.5,,,,
Trundle,Xin Zhao,Leona,Nautilus,14.5,,,,
,,,,,Shopify Rebellion,100 Thieves,red_side,blue_side
Vi,Udyr,KSante,Gnar,14.5,,,,
Senna,Kalista,Wukong,Rell,14.5,,,,
Smolder,Varus,Taliyah,Ahri,14.5,,,,
Sejuani,Renekton,Aphelios,Xayah,14.5,,,,
Aatrox,Rumble,Nautilus,Rakan,14.5,,,,
,,,,,Team Liquid,Dignitas,red_side,blue_side
Jayce,Orianna,Renekton,Rumble,14.5,,,,
Vi,Olaf,Poppy,Lee Sin,14.5,,,,
Wukong,Karma,Taliyah,Ahri,14.5,,,,
Volibear,Sejuani,Kalista,Senna,14.5,,,,
Darius,Xin Zhao,Renata Glasc,Nautilus,14.5,,,,
,,,,,FlyQuest,NRG,blue_side,red_side
Nautilus,Ivern,Jayce,Aatrox,14.5,,,,
Lucian,Kalista,Vi,Lee Sin,14.5,,,,
Varus,Volibear,Taliyah,Akali,14.5,,,,
Malphite,Leona,Ziggs,Senna,14.5,,,,
Ahri,Orianna,Bard,Ornn,14.5,,,,
,,,,,Immortals,Cloud9,blue_side,red_side
Vi,Kalista,Aatrox,Renekton,14.5,,,,
Volibear,Ivern,Sejuani,Xin Zhao,14.5,,,,
Karma,Ashe,Neeko,Taliyah,14.5,,,,
Sion,Jayce,Senna,Varus,14.5,,,,
Ahri,Rumble,Wukong,Nautilus,14.5,,,,
,,,,,NRG,Shopify Rebellion,red_side,blue_side
Ivern,Senna,Aatrox,Jax,14.5,,,,
Orianna,Renekton,Vi,Volibear,14.5,,,,
Kalista,Varus,Ahri,Taliyah,14.5,,,,
Nautilus,Lucian,Kaisa,Zeri,14.5,,,,
Xayah,Smolder,Rell,Rakan,14.5,,,,
,,,,,100 Thieves,Immortals,blue_side,red_side
Orianna,Vi,Renekton,Jayce,14.5,,,,
Senna,Jax,Volibear,Xin Zhao,14.5,,,,
Varus,Kalista,Aurelion Sol,Karma,14.5,,,,
Kaisa,Tristana,Smolder,Sivir,14.5,,,,
Olaf,Taliyah,Nautilus,Rakan,14.5,,,,
,,,,,Team Liquid,FlyQuest,blue_side,red_side
Kalista,Varus,Renekton,Udyr,14.5,,,,
Senna,Smolder,Sejuani,Xin Zhao,14.5,,,,
Caitlyn,Vi,Karma,Yone,14.5,,,,
Orianna,Volibear,Sivir,Lucian,14.5,,,,
Taliyah,Jax,Milio,Nami,14.5,,,,
,,,,,Dignitas,Cloud9,red_side,blue_side
Renekton,Azir,Gnar,Jayce,14.4,,,,
Twisted Fate,Kalista,Sejuani,Volibear,14.4,,,,
Senna,Varus,Taliyah,Hwei,14.4,,,,
Orianna,Vi,Smolder,Lucian,14.4,,,,
Udyr,Poppy,Nautilus,Nami,14.4,,,,
,,,,,Dignitas,Shopify Rebellion,blue_side,red_side
Nidalee,Volibear,Jax,Jayce,14.4,,,,
Varus,Kalista,Lee Sin,Ivern,14.4,,,,
Twisted Fate,Ziggs,Taliyah,Azir,14.4,,,,
Rumble,Vi,Senna,Smolder,14.4,,,,
Sejuani,Renekton,Tahm Kench,Nautilus,14.4,,,,
,,,,,Team Liquid,Cloud9,red_side,blue_side
Twisted Fate,Orianna,Renekton,Vayne,14.4,,,,
Jayce,Ivern,Volibear,Poppy,14.4,,,,
Senna,Hwei,Azir,Taliyah,14.4,,,,
Vi,Renata Glasc,Kalista,Varus,14.4,,,,
Rumble,Ashe,Thresh,Nautilus,14.4,,,,
,,,,,Immortals,NRG,red_side,blue_side
Taliyah,Twisted Fate,Olaf,Renekton,14.4,,,,
Vi,Senna,Sejuani,Trundle,14.4,,,,
Varus,Kalista,Orianna,Karma,14.4,,,,
Volibear,Nocturne,Ezreal,Kaisa,14.4,,,,
