blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
,,,,,Immortals,TSM,red_side,blue_side
Twisted Fate,Hecarim,Kennen,Gangplank,12.5,,,,
Kaisa,Aphelios,Lee Sin,Viego,12.5,,,,
Ahri,Jayce,Syndra,Viktor,12.5,,,,
Ryze,Sylas,Jinx,Zeri,12.5,,,,
LeBlanc,Gnar,Nautilus,Alistar,12.5,,,,
,,,,,Cloud9,CLG,blue_side,red_side
Tryndamere,Hecarim,Lucian,Gragas,12.5,,,,
Lee Sin,Volibear,Trundle,Viego,12.5,,,,
Jinx,Ryze,Ahri,Veigar,12.5,,,,
Malphite,Alistar,Zeri,Tristana,12.5,,,,
Ashe,Renata Glasc,Taric,Nautilus,12.5,,,,
,,,,,Team Liquid,FlyQuest,red_side,blue_side
Caitlyn,Ryze,Fiora,Tryndamere,12.5,,,,
Jarvan IV,Zeri,Hecarim,Lee Sin,12.5,,,,
Volibear,Tahm Kench,Viktor,Sylas,12.5,,,,
Ahri,Malphite,Kaisa,Aphelios,12.5,,,,
LeBlanc,Gnar,Leona,Nautilus,12.5,,,,
,,,,,Golden Guardians,Dignitas,blue_side,red_side
Lee Sin,Hecarim,Gnar,Graves,12.5,,,,
Sett,Diana,Jarvan IV,Volibear,12.5,,,,
Viktor,Kaisa,Orianna,Twisted Fate,12.5,,,,
Tryndamere,Ryze,Zeri,Jinx,12.5,,,,
LeBlanc,Sylas,Nautilus,Tahm Kench,12.5,,,,
,,,,,Evil Geniuses,100 Thieves,red_side,blue_side
Lee Sin,Kaisa,Gnar,Irelia,12.5,,,,
Lucian,Hecarim,Xin Zhao,Viego,12.5,,,,
Volibear,Tahm Kench,Ryze,Syndra,12.5,,,,
Renata Glasc,Diana,Jinx,Zeri,12.5,,,,
Viktor,Nocturne,Nautilus,Alistar,12.5,,,,
,,,,,Golden Guardians,FlyQuest,blue_side,red_side
Ryze,Karma,Gragas,Tryndamere,12.5,,,,
Diana,Caitlyn,Hecarim,Viego,12.5,,,,
Kaisa,Thresh,Ahri,LeBlanc,12.5,,,,
Malphite,Viktor,Jinx,Zeri,12.5,,,,
Akali,Corki,Tahm Kench,Nautilus,12.5,,,,
,,,,,Dignitas,Evil Geniuses,red_side,blue_side
LeBlanc,Tahm Kench,Gnar,Rumble,12.5,,,,
Sylas,Karma,Volibear,Lee Sin,12.5,,,,
Xayah,Hecarim,Veigar,Ryze,12.5,,,,
Leona,Viktor,Kaisa,Zeri,12.5,,,,
Alistar,Syndra,Nautilus,Sett,12.5,,,,
,,,,,Cloud9,TSM,red_side,blue_side
Zilean,Nautilus,Aatrox,Tryndamere,12.5,,,,
Volibear,Kaisa,Hecarim,Viego,12.5,,,,
Graves,Jinx,Twisted Fate,Ahri,12.5,,,,
Gangplank,Nami,Lucian,Zeri,12.5,,,,
Yuumi,Camille,Rakan,Shen,12.5,,,,
,,,,,CLG,Team Liquid,red_side,blue_side
Lee Sin,Hecarim,Jayce,Renekton,12.5,,,,
Tryndamere,Volibear,Udyr,Diana,12.5,,,,
Viego,Tahm Kench,Orianna,Viktor,12.5,,,,
Yasuo,Graves,Kaisa,Zeri,12.5,,,,
Irelia,Ahri,Leona,Nautilus,12.5,,,,
,,,,,Immortals,100 Thieves,red_side,blue_side
Aphelios,Hecarim,Sion,Camille,12.5,,,,
Diana,Gnar,Lee Sin,RekSai,12.5,,,,
Ryze,Tahm Kench,Syndra,Ahri,12.5,,,,
Volibear,Vex,Zeri,Kaisa,12.5,,,,
Tryndamere,LeBlanc,Renata Glasc,Nautilus,12.5,,,,
,,,,,Golden Guardians,CLG,red_side,blue_side
Orianna,Zeri,Gnar,Irelia,12.5,,,,
Ahri,Caitlyn,Volibear,Sett,12.5,,,,
Hecarim,Karma,Corki,Azir,12.5,,,,
Camille,Ryze,Aphelios,Jinx,12.5,,,,
Jayce,LeBlanc,Thresh,Tahm Kench,12.5,,,,
,,,,,Dignitas,Immortals,blue_side,red_side
Tahm Kench,Ryze,Graves,Sion,12.5,,,,
Tryndamere,Ahri,Lee Sin,Hecarim,12.5,,,,
Karma,Volibear,Syndra,Orianna,12.5,,,,
LeBlanc,Jinx,Kaisa,Zeri,12.5,,,,
Zilean,Xayah,Alistar,Nautilus,12.5,,,,
,,,,,TSM,Evil Geniuses,red_side,blue_side
Renata Glasc,Hecarim,Tryndamere,Jax,12.5,,,,
Volibear,Gnar,Trundle,Viego,12.5,,,,
Zilean,Jayce,Viktor,Ryze,12.5,,,,
Lee Sin,Xin Zhao,Jinx,Zeri,12.5,,,,
Gragas,Poppy,Tahm Kench,Nautilus,12.5,,,,
,,,,,Cloud9,Team Liquid,blue_side,red_side
Ryze,Hecarim,Sion,Aatrox,12.5,,,,
Viktor,Tahm Kench,Viego,Volibear,12.5,,,,
Tryndamere,Lee Sin,Ahri,Vex,12.5,,,,
Gwen,Trundle,Zeri,Jinx,12.5,,,,
Zilean,Jarvan IV,Nautilus,Leona,12.5,,,,
,,,,,FlyQuest,100 Thieves,red_side,blue_side
Orianna,Zeri,Gnar,Tryndamere,12.5,,,,
Renata Glasc,Hecarim,Diana,Lee Sin,12.5,,,,
Volibear,Jayce,Lucian,Ahri,12.5,,,,
Irelia,Xin Zhao,Jinx,Aphelios,12.5,,,,
Syndra,Ryze,Tahm Kench,Thresh,12.5,,,,
,,,,,Cloud9,Immortals,blue_side,red_side
Karma,Ryze,Graves,Gwen,12.5,,,,
Tryndamere,Lee Sin,Volibear,Jarvan IV,12.5,,,,
Tahm Kench,Hecarim,Ahri,Akali,12.5,,,,
Syndra,Leona,Jinx,Caitlyn,12.5,,,,
Viktor,Nautilus,Thresh,Lux,12.5,,,,
,,,,,TSM,Dignitas,red_side,blue_side
Graves,Zeri,Gnar,Lucian,12.5,,,,
Aphelios,Jinx,Lee Sin,Xin Zhao,12.5,,,,
Volibear,Hecarim,Ryze,Galio,12.5,,,,
Viktor,Ashe,Jhin,Ezreal,12.5,,,,
Jayce,Caitlyn,Renata Glasc,Karma,12.5,,,,
,,,,,Evil Geniuses,Team Liquid,red_side,blue_side
Aphelios,Hecarim,Gnar,Sion,12.5,,,,
Ahri,Tahm Kench,Nocturne,Lee Sin,12.5,,,,
Zeri,Graves,Ryze,Viktor,12.5,,,,
Renata Glasc,Volibear,Kaisa,Jinx,12.5,,,,
Tryndamere,Gragas,Nautilus,Leona,12.5,,,,
,,,,,Golden Guardians,100 Thieves,red_side,blue_side
Ryze,Hecarim,Tryndamere,Kled,12.5,,,,
Yuumi,Lee Sin,Volibear,Trundle,12.5,,,,
Diana,Jinx,Syndra,Twisted Fate,12.5,,,,
Camille,Ahri,Zeri,Kaisa,12.5,,,,
Gwen,Zilean,Renata Glasc,Nautilus,12.5,,,,
,,,,,FlyQuest,CLG,red_side,blue_side
Ryze,Zeri,Gnar,Graves,12.4,,,,
Ahri,Karma,Lee Sin,Xin Zhao,12.4,,,,
Gwen,Hecarim,Corki,Sylas,12.4,,,,
Akali,Irelia,Jinx,Varus,12.4,,,,
Jayce,Tryndamere,Nautilus,Tahm Kench,12.4,,,,
,,,,,Golden Guardians,TSM,red_side,blue_side
Caitlyn,Zeri,Tryndamere,Malphite,12.4,,,,
Karma,Gwen,Hecarim,Jarvan IV,12.4,,,,
Thresh,Lee Sin,Zilean,Viktor,12.4,,,,
Gnar,Ahri,Aphelios,Jinx,12.4,,,,
Gragas,Orianna,Nautilus,Tahm Kench,12.4,,,,
,,,,,FlyQuest,Dignitas,blue_side,red_side
Ahri,Zeri,Akali,Gwen,12.4,,,,
Jayce,Tahm Kench,KhaZix,Volibear,12.4,,,,
Caitlyn,Hecarim,Syndra,Ryze,12.4,,,,
Gnar,Tryndamere,Aphelios,Ezreal,12.4,,,,
Graves,Lee Sin,Nautilus,Karma,12.4,,,,
,,,,,Evil Geniuses,Cloud9,red_side,blue_side
Nautilus,Hecarim,Gnar,Tryndamere,12.4,,,,
Jhin,Ryze,Viego,Lee Sin,12.4,,,,
Caitlyn,Zeri,Viktor,Ahri,12.4,,,,
Jayce,Zilean,Jinx,Aphelios,12.4,,,,
Renata Glasc,Vex,Tahm Kench,Thresh,12.4,,,,
,,,,,CLG,100 Thieves,red_side,blue_side
Zilean,Volibear,Graves,Shyvana,12.4,,,,
Ryze,Hecarim,Xin Zhao,Viego,12.4,,,,
Zeri,Jinx,Ahri,Viktor,12.4,,,,
Tryndamere,Lux,Caitlyn,Jhin,12.4,,,,
Veigar,Karma,Leona,Nautilus,12.4,,,,
,,,,,Immortals,Team Liquid,red_side,blue_side
Jarvan IV,Zeri,Kennen,Graves,12.4,,,,
Tahm Kench,Gwen,Hecarim,Volibear,12.4,,,,
Karma,Ryze,Zilean,Corki,12.4,,,,
LeBlanc,Camille,Jinx,Caitlyn,12.4,,,,
Sylas,Tryndamere,Lulu,Lux,12.4,,,,
,,,,,CLG,Dignitas,red_side,blue_side
Ryze,Zeri,Gnar,Graves,12.4,,,,
Yuumi,Gwen,Hecarim,Xin Zhao,12.4,,,,
Jinx,Aphelios,Ahri,Viktor,12.4,,,,
Corki,Jayce,Jhin,Ezreal,12.4,,,,
Veigar,Zilean,Nautilus,Karma,12.4,,,,
,,,,,Cloud9,Golden Guardians,blue_side,red_side
Ahri,Graves,Gragas,Tryndamere,12.4,,,,
Hecarim,Tahm Kench,Xin Zhao,Lee Sin,12.4,,,,
Sett,Twisted Fate,Viktor,Ryze,12.4,,,,
Gwen,Volibear,Zeri,Jinx,12.4,,,,
Gnar,Trundle,Nautilus,Leona,12.4,,,,
,,,,,Team Liquid,100 Thieves,blue_side,red_side
Tahm Kench,Ryze,Tryndamere,Gragas,12.4,,,,
Gwen,Hecarim,RekSai,Lee Sin,12.4,,,,
Karma,Yuumi,Ahri,Syndra,12.4,,,,
Irelia,Gnar,Zeri,Aphelios,12.4,,,,
Jinx,Alistar,Leona,Nautilus,12.4,,,,
,,,,,TSM,FlyQuest,red_side,blue_side
Ahri,Zeri,Sion,Graves,12.4,,,,
Volibear,Jinx,Trundle,Xin Zhao,12.4,,,,
Hecarim,Aphelios,Ryze,Orianna,12.4,,,,
Camille,Lee Sin,Ezreal,Caitlyn,12.4,,,,
Gwen,Olaf,Karma,Nautilus,12.4,,,,
