blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
Maokai,Lucian,Gragas,Jax,13.1,,,,
Sejuani,Elise,Vi,Wukong,13.1,,,,
Draven,Ashe,Taliyah,Ryze,13.1,,,,
Nautilus,Azir,Zeri,Varus,13.1,,,,
Cassiopeia,KSante,Yuumi,Pyke,13.1,,,,
,,,,,Team Vitality,Excel Esports,blue_side,red_side
Draven,Maokai,Renekton,Karma,13.1,,,,
Elise,Ashe,Sejuani,Kindred,13.1,,,,
Ryze,Heimerdinger,Viktor,Swain,13.1,,,,
Jax,Kassadin,Sivir,Varus,13.1,,,,
Nautilus,Cassiopeia,Yuumi,Taliyah,13.1,,,,
,,,,,MAD Lions,G2 Esports,blue_side,red_side
Ashe,Lucian,Gnar,Camille,13.1,,,,
Ryze,Yuumi,Sejuani,Wukong,13.1,,,,
Maokai,Elise,Taliyah,Azir,13.1,,,,
Gragas,Jax,Caitlyn,Xayah,13.1,,,,
Kassadin,Sylas,Lux,Leona,13.1,,,,
,,,,,SK Gaming,Fnatic,blue_side,red_side
Ryze,Caitlyn,Gnar,Kled,13.1,,,,
Lucian,Ashe,Wukong,Sejuani,13.1,,,,
Ezreal,Kalista,Sylas,Yone,13.1,,,,
Jax,Maokai,Zeri,Sivir,13.1,,,,
Irelia,Renekton,Lulu,Yuumi,13.1,,,,
,,,,,KOI,Astralis,blue_side,red_side
Draven,Caitlyn,Sett,Renekton,13.1,,,,
Yuumi,Lucian,Vi,Sejuani,13.1,,,,
Maokai,Darius,Azir,Sylas,13.1,,,,
Viktor,Wukong,Zeri,Varus,13.1,,,,
Jax,KSante,Ashe,Heimerdinger,13.1,,,,
,,,,,Team BDS,Team Heretics,blue_side,red_side
Caitlyn,Lucian,Jax,Gangplank,13.1,,,,
Ashe,Ryze,Elise,Maokai,13.1,,,,
Jarvan IV,Draven,Jayce,Azir,13.1,,,,
Renata Glasc,Renekton,Kalista,Zeri,13.1,,,,
Braum,Darius,Leona,Nautilus,13.1,,,,
,,,,,G2 Esports,KOI,blue_side,red_side
Maokai,Sejuani,Gnar,Aatrox,13.1,,,,
Yuumi,Caitlyn,Trundle,Vi,13.1,,,,
Kassadin,Ashe,Ryze,Azir,13.1,,,,
Wukong,Elise,Lucian,Varus,13.1,,,,
Jax,Fiora,Nami,Nautilus,13.1,,,,
,,,,,Astralis,Fnatic,blue_side,red_side
Sejuani,Maokai,Renekton,KSante,13.1,,,,
Elise,Draven,Wukong,Vi,13.1,,,,
Lucian,Jax,Azir,Sylas,13.1,,,,
Karma,Sivir,Ashe,Varus,13.1,,,,
Gwen,Xayah,Heimerdinger,Yuumi,13.1,,,,
,,,,,Team Heretics,MAD Lions,red_side,blue_side
Jax,Maokai,KSante,Gwen,13.1,,,,
Zeri,Heimerdinger,Wukong,Vi,13.1,,,,
Elise,Sejuani,Akali,Azir,13.1,,,,
Gnar,Olaf,Lucian,Varus,13.1,,,,
Renekton,Darius,Nami,Ashe,13.1,,,,
,,,,,Team BDS,Team Vitality,red_side,blue_side
Heimerdinger,Jax,Sion,Renekton,13.1,,,,
Ashe,Lucian,Maokai,Sejuani,13.1,,,,
Jayce,Elise,Akali,Viktor,13.1,,,,
Sylas,Azir,Zeri,Yasuo,13.1,,,,
Ryze,KSante,Yuumi,Senna,13.1,,,,
,,,,,SK Gaming,Excel Esports,blue_side,red_side
Jax,Maokai,Gnar,Renekton,13.1,,,,
Heimerdinger,Caitlyn,Vi,Sejuani,13.1,,,,
Lucian,Elise,Azir,LeBlanc,13.1,,,,
Sylas,Ryze,Varus,Zeri,13.1,,,,
Kassadin,Fiora,Ashe,Yuumi,13.1,,,,
,,,,,KOI,Team Vitality,blue_side,red_side
Nami,Maokai,Gragas,Renekton,13.1,,,,
Kassadin,Elise,Viego,Sejuani,13.1,,,,
Ashe,Sivir,Sylas,Cassiopeia,13.1,,,,
Ryze,Twitch,Xayah,Zeri,13.1,,,,
Jax,Ezreal,Yuumi,Lulu,13.1,,,,
,,,,,Fnatic,MAD Lions,red_side,blue_side
Caitlyn,Draven,Gnar,Jax,13.1,,,,
Ashe,Elise,Maokai,Sejuani,13.1,,,,
Heimerdinger,Jayce,Ryze,Sylas,13.1,,,,
Olaf,Kalista,Xayah,Lucian,13.1,,,,
Darius,Samira,Nautilus,Nami,13.1,,,,
,,,,,G2 Esports,Team BDS,blue_side,red_side
KSante,Maokai,Ornn,Jax,13.1,,,,
Lucian,Ashe,Elise,Sejuani,13.1,,,,
Caitlyn,Heimerdinger,Jayce,Orianna,13.1,,,,
Viktor,Renekton,Varus,Draven,13.1,,,,
Azir,Gangplank,Braum,Rakan,13.1,,,,
,,,,,Excel Esports,Team Heretics,red_side,blue_side
Elise,Ashe,Gangplank,Jax,13.1,,,,
Yuumi,Caitlyn,Sejuani,Vi,13.1,,,,
Maokai,Ryze,Sylas,LeBlanc,13.1,,,,
Kassadin,Fiora,Ezreal,Lucian,13.1,,,,
Wukong,Renekton,Karma,Nami,13.1,,,,
,,,,,Astralis,SK Gaming,blue_side,red_side
Lucian,Ashe,Gwen,KSante,13.1,,,,
Heimerdinger,Maokai,Vi,Wukong,13.1,,,,
Yuumi,Sejuani,Ryze,Azir,13.1,,,,
Renata Glasc,Gragas,Varus,Zeri,13.1,,,,
Jax,Nautilus,Leona,Braum,13.1,,,,
,,,,,Fnatic,Team Heretics,red_side,blue_side
Graves,Draven,KSante,Gwen,13.1,,,,
Sivir,Kalista,Udyr,Vi,13.1,,,,
Jax,Elise,Ryze,Cassiopeia,13.1,,,,
Azir,Viego,Lucian,Varus,13.1,,,,
Syndra,Maokai,Nami,Ashe,13.1,,,,
,,,,,G2 Esports,Team Vitality,red_side,blue_side
Caitlyn,Elise,Gnar,Renekton,13.1,,,,
Ashe,Jax,Sejuani,Maokai,13.1,,,,
Ryze,Zeri,Akali,Tristana,13.1,,,,
Aatrox,Sylas,Lucian,Ezreal,13.1,,,,
Kassadin,Azir,Yuumi,Nami,13.1,,,,
,,,,,SK Gaming,KOI,blue_side,red_side
Yuumi,Caitlyn,Darius,KSante,13.1,,,,
Ashe,Heimerdinger,Maokai,Sejuani,13.1,,,,
Lucian,Olaf,Azir,Akali,13.1,,,,
Sylas,Jax,Jhin,Varus,13.1,,,,
Kassadin,Renekton,Tahm Kench,Thresh,13.1,,,,
,,,,,Team BDS,MAD Lions,blue_side,red_side
Ashe,Maokai,KSante,Gnar,13.1,,,,
Ryze,Yuumi,Sejuani,Trundle,13.1,,,,
Caitlyn,Renekton,Taliyah,Sylas,13.1,,,,
Viego,Jax,Draven,Lucian,13.1,,,,
Wukong,Akali,Nautilus,Nami,13.1,,,,
,,,,,Excel Esports,Astralis,red_side,blue_side
Yuumi,Caitlyn,KSante,Fiora,13.1,,,,
Maokai,Heimerdinger,Jarvan IV,Sejuani,13.1,,,,
Ryze,Elise,Azir,Sylas,13.1,,,,
Jax,Wukong,Lucian,Varus,13.1,,,,
Renekton,Vi,Nami,Ashe,13.1,,,,
,,,,,KOI,MAD Lions,red_side,blue_side
Ryze,Heimerdinger,Renekton,Gnar,13.1,,,,
Ashe,Yuumi,Vi,Wukong,13.1,,,,
Sejuani,Maokai,Sylas,Kassadin,13.1,,,,
KSante,Jax,Lucian,Varus,13.1,,,,
Syndra,Ornn,Nami,Nautilus,13.1,,,,
,,,,,Excel Esports,Fnatic,red_side,blue_side
Caitlyn,Yuumi,KSante,Jax,13.1,,,,
Ashe,Maokai,Elise,Belveth,13.1,,,,
