blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
LeBlanc,Olaf,Azir,Sylas,12.14,,,,
Ezreal,Gragas,Sivir,Xayah,12.14,,,,
Zeri,Tahm Kench,Leona,Rakan,12.14,,,,
,,,,,Team Liquid,Evil Geniuses,blue_side,red_side
Poppy,Olaf,Gnar,Gwen,12.14,,,,
Azir,Kalista,Wukong,Trundle,12.14,,,,
Lucian,Orianna,Sylas,Ahri,12.14,,,,
Taliyah,Fiora,Nilah,Sivir,12.14,,,,
LeBlanc,Lissandra,Sona,Yuumi,12.14,,,,
,,,,,Cloud9,100 Thieves,red_side,blue_side
Kalista,Taliyah,Ornn,Sejuani,12.14,,,,
Lucian,Poppy,Wukong,Viego,12.14,,,,
Yuumi,Azir,Ahri,Sylas,12.14,,,,
Lissandra,Xin Zhao,Sivir,Zeri,12.14,,,,
LeBlanc,Gwen,Nautilus,Lulu,12.14,,,,
,,,,,TSM,Dignitas,blue_side,red_side
Sivir,Renata Glasc,Fiora,Jayce,12.14,,,,
LeBlanc,Nilah,Trundle,Wukong,12.14,,,,
Kalista,Olaf,Azir,Yone,12.14,,,,
Lillia,Zeri,Lucian,Seraphine,12.14,,,,
Poppy,Nautilus,Nami,Karma,12.14,,,,
,,,,,Cloud9,CLG,red_side,blue_side
Seraphine,Zeri,Ornn,Yone,12.14,,,,
Kalista,Taliyah,Viego,Lee Sin,12.14,,,,
Poppy,Azir,Sylas,Orianna,12.14,,,,
Fiora,Sejuani,Aphelios,Draven,12.14,,,,
Gwen,LeBlanc,Tahm Kench,Amumu,12.14,,,,
,,,,,Dignitas,Immortals,blue_side,red_side
Trundle,Ahri,Gwen,Olaf,12.14,,,,
Kalista,Lee Sin,Wukong,Poppy,12.14,,,,
LeBlanc,Yuumi,Taliyah,Azir,12.14,,,,
Sivir,Lulu,Aphelios,Lucian,12.14,,,,
Draven,Ezreal,Renata Glasc,Nami,12.14,,,,
,,,,,FlyQuest,Team Liquid,red_side,blue_side
Ahri,LeBlanc,Gwen,Fiora,12.14,,,,
Kalista,Yuumi,Poppy,Trundle,12.14,,,,
Ryze,Miss Fortune,Sylas,Azir,12.14,,,,
Jax,Senna,Zeri,Sivir,12.14,,,,
Tahm Kench,Jinx,Rakan,Bard,12.14,,,,
,,,,,Evil Geniuses,TSM,blue_side,red_side
LeBlanc,Pantheon,Sejuani,Ornn,12.14,,,,
Taliyah,Sylas,Jarvan IV,Wukong,12.14,,,,
Poppy,Kalista,Akali,Lissandra,12.14,,,,
Gwen,Jax,Aphelios,Lucian,12.14,,,,
Azir,Fiora,Lulu,Nami,12.14,,,,
,,,,,Golden Guardians,100 Thieves,red_side,blue_side
Viego,Taliyah,Gangplank,Ornn,12.13,,,,
Ahri,Poppy,Xin Zhao,Trundle,12.13,,,,
Zeri,Yone,Azir,Viktor,12.13,,,,
Wukong,Gwen,Draven,Kalista,12.13,,,,
Lee Sin,Fiora,Renata Glasc,Pyke,12.13,,,,
,,,,,CLG,Dignitas,blue_side,red_side
Kalista,Zeri,Gnar,Aatrox,12.13,,,,
Poppy,Sylas,Lee Sin,Viego,12.13,,,,
Yone,Jinx,Taliyah,Swain,12.13,,,,
Alistar,Yuumi,Sivir,Seraphine,12.13,,,,
Fiora,Trundle,Gragas,Nautilus,12.13,,,,
,,,,,100 Thieves,Immortals,blue_side,red_side
Seraphine,Taliyah,Gwen,Olaf,12.13,,,,
Trundle,Poppy,Hecarim,Wukong,12.13,,,,
Gangplank,Zeri,Azir,Ahri,12.13,,,,
Gnar,Jarvan IV,Kalista,KogMaw,12.13,,,,
Zilean,Xin Zhao,Renata Glasc,Lulu,12.13,,,,
,,,,,Cloud9,Team Liquid,blue_side,red_side
Ahri,Gangplank,Sejuani,Aatrox,12.13,,,,
Taliyah,Poppy,Wukong,Lee Sin,12.13,,,,
Zeri,Seraphine,Azir,Akali,12.13,,,,
Nautilus,Gnar,Kalista,Aphelios,12.13,,,,
Gwen,Viego,Renata Glasc,Alistar,12.13,,,,
,,,,,Evil Geniuses,FlyQuest,blue_side,red_side
Kalista,Taliyah,Gnar,Gwen,12.13,,,,
Wukong,Zeri,Xin Zhao,Poppy,12.13,,,,
Fiora,Seraphine,Azir,Corki,12.13,,,,
Lucian,Rakan,Sivir,Sejuani,12.13,,,,
Yuumi,Renata Glasc,Bard,Senna,12.13,,,,
,,,,,TSM,Golden Guardians,blue_side,red_side
Gangplank,Kalista,Yone,Gwen,12.13,,,,
Zeri,Azir,Poppy,Wukong,12.13,,,,
Sylas,Seraphine,Taliyah,Ahri,12.13,,,,
Viego,Renata Glasc,Aphelios,Jinx,12.13,,,,
Sejuani,Fiora,Amumu,Tahm Kench,12.13,,,,
,,,,,Immortals,Evil Geniuses,red_side,blue_side
Kalista,Senna,Gnar,Yone,12.13,,,,
Sylas,Zeri,Viego,Poppy,12.13,,,,
Taliyah,Swain,Seraphine,LeBlanc,12.13,,,,
Diana,Twitch,Lucian,Sivir,12.13,,,,
Gwen,Alistar,Nami,Yuumi,12.13,,,,
,,,,,Golden Guardians,CLG,red_side,blue_side
Poppy,Seraphine,Gangplank,Ornn,12.13,,,,
Azir,Trundle,Wukong,Viego,12.13,,,,
Zeri,Taliyah,Syndra,Sylas,12.13,,,,
Tahm Kench,Ryze,Miss Fortune,Jinx,12.13,,,,
Nautilus,Orianna,Rakan,Braum,12.13,,,,
,,,,,Team Liquid,TSM,blue_side,red_side
Viego,Taliyah,Sylas,Gnar,12.13,,,,
Kalista,Poppy,Trundle,Hecarim,12.13,,,,
Yuumi,Gangplank,Azir,Ahri,12.13,,,,
Lulu,Lee Sin,Sivir,Zeri,12.13,,,,
Wukong,Nautilus,Alistar,Rakan,12.13,,,,
,,,,,100 Thieves,Dignitas,blue_side,red_side
Kalista,Seraphine,Jax,Gwen,12.13,,,,
Yuumi,Ahri,Poppy,Olaf,12.13,,,,
Gangplank,Viego,Taliyah,Orianna,12.13,,,,
Fiora,Leona,Sivir,Zeri,12.13,,,,
Trundle,Alistar,Taric,Nautilus,12.13,,,,
,,,,,FlyQuest,Cloud9,red_side,blue_side
Taliyah,Poppy,Gragas,Gwen,12.13,,,,
Zeri,Sylas,Lee Sin,Viego,12.13,,,,
Seraphine,Gnar,Azir,Ahri,12.13,,,,
Nautilus,Gangplank,Aphelios,Jinx,12.13,,,,
Sejuani,Ornn,Braum,Tahm Kench,12.13,,,,
,,,,,Dignitas,FlyQuest,red_side,blue_side
Taliyah,Azir,Aatrox,Gnar,12.13,,,,
Sylas,Orianna,Trundle,Poppy,12.13,,,,
Yone,Kalista,Cassiopeia,Swain,12.13,,,,
Yuumi,Fiora,Seraphine,Zeri,12.13,,,,
Lulu,Camille,Amumu,Alistar,12.13,,,,
,,,,,Immortals,TSM,blue_side,red_side
Seraphine,Aphelios,Gangplank,Gnar,12.13,,,,
Tahm Kench,Taliyah,Viego,Poppy,12.13,,,,
Sylas,Yuumi,Azir,Ahri,12.13,,,,
Jinx,Trundle,Zeri,Kaisa,12.13,,,,
Miss Fortune,Braum,Renata Glasc,Nautilus,12.13,,,,
,,,,,100 Thieves,Evil Geniuses,blue_side,red_side
Gangplank,Seraphine,Sejuani,Kayle,12.13,,,,
Kalista,Gnar,Poppy,Xin Zhao,12.13,,,,
Gwen,Wukong,Lissandra,Taliyah,12.13,,,,
Yone,Orianna,Twitch,Zeri,12.13,,,,
Fiora,Swain,Lulu,Nautilus,12.13,,,,
,,,,,Golden Guardians,Cloud9,red_side,blue_side
Gangplank,Taliyah,Fiora,Graves,12.13,,,,
Trundle,Seraphine,Poppy,Wukong,12.13,,,,
Zeri,Sylas,Azir,Lissandra,12.13,,,,
Corki,Amumu,Miss Fortune,Draven,12.13,,,,
Mordekaiser,Gwen,Alistar,Nautilus,12.13,,,,
,,,,,CLG,Team Liquid,blue_side,red_side
Gnar,Zeri,Gwen,Kayle,12.13,,,,
Senna,Poppy,Lee Sin,Wukong,12.13,,,,
Kalista,Seraphine,Taliyah,Swain,12.13,,,,
Fiora,Trundle,Jinx,Aphelios,12.13,,,,
Renata Glasc,Viego,Tahm Kench,Braum,12.13,,,,
,,,,,FlyQuest,Golden Guardians,blue_side,red_side
Kalista,Gangplank,Gnar,Gwen,12.13,,,,
Seraphine,Zeri,Poppy,Taliyah,12.13,,,,
Sylas,Ezreal,Akali,Yone,12.13,,,,
Yuumi,LeBlanc,Tahm Kench,Aphelios,12.13,,,,
Renata Glasc,Ahri,Senna,Rakan,12.13,,,,
,,,,,Evil Geniuses,CLG,blue_side,red_side
Lucian,Taliyah,Yone,Gnar,12.13,,,,
Lulu,Seraphine,Poppy,Trundle,12.13,,,,
Azir,Zeri,Zoe,Lissandra,12.13,,,,
Ornn,Sylas,Jinx,Aphelios,12.13,,,,
Fiora,Swain,Rakan,Tahm Kench,12.13,,,,
,,,,,TSM,100 Thieves,red_side,blue_side
Taliyah,Azir,Gnar,Gangplank,12.13,,,,
Zeri,Orianna,Poppy,Viego,12.13,,,,
Trundle,Gwen,Sylas,Swain,12.13,,,,
Wukong,Fiora,Kalista,Seraphine,12.13,,,,
Draven,Ahri,Nautilus,Alistar,12.13,,,,
,,,,,Immortals,Team Liquid,red_side,blue_side
Gangplank,Seraphine,Gragas,Gnar,12.13,,,,
Kalista,Jarvan IV,Poppy,Udyr,12.13,,,,
Yone,Sylas,Azir,Orianna,12.13,,,,
LeBlanc,Nautilus,Jinx,Zeri,12.13,,,,
Fiora,Lulu,Rakan,Yuumi,12.13,,,,
,,,,,Dignitas,Cloud9,red_side,blue_side
Poppy,Zeri,Irelia,Gnar,12.12,,,,
Corki,Senna,Wukong,Xin Zhao,12.12,,,,
Sylas,Azir,Swain,Taliyah,12.12,,,,
Jarvan IV,KogMaw,Seraphine,Lucian,12.12,,,,
Volibear,Kalista,Sejuani,Nami,12.12,,,,
,,,,,Golden Guardians,Dignitas,blue_side,red_side
Sylas,Seraphine,Gnar,Gragas,12.12,,,,
Zeri,Swain,Viego,Kindred,12.12,,,,
Gangplank,Ahri,Corki,Azir,12.12,,,,
Poppy,Fiora,Kalista,Aphelios,12.12,,,,
Ornn,Irelia,Nautilus,Braum,12.12,,,,
,,,,,Immortals,Cloud9,blue_side,red_side
Kalista,Senna,Gnar,Aatrox,12.12,,,,
Swain,Zeri,Viego,Volibear,12.12,,,,
Sylas,Seraphine,Lissandra,Zilean,12.12,,,,
Gangplank,Nautilus,Ezreal,Lucian,12.12,,,,
Olaf,Miss Fortune,Yuumi,Nami,12.12,,,,
,,,,,Evil Geniuses,Team Liquid,blue_side,red_side
Gangplank,Seraphine,Fiora,Gnar,12.12,,,,
Lucian,Yone,Vi,Poppy,12.12,,,,
Corki,Yasuo,Azir,Sylas,12.12,,,,
Renata Glasc,Ornn,Jinx,Zeri,12.12,,,,
Trundle,Gwen,Nautilus,Braum,12.12,,,,
,,,,,CLG,100 Thieves,red_side,blue_side
